time,open,high,low,close,Volume
639792000,2160.25,2163.75,2157.75,2161.5,0
639878400,2160.25,2164.25,2158.75,2163.75,0
640224000,2161.75,2167.5,2161.25,2167.25,0
640310400,2169.25,2169.25,2166,2167,0
640396800,2166.75,2167.25,2165.25,2165.5,0
640483200,2165,2167.25,2164,2166.75,0
640569600,2167.75,2168.25,2165.25,2165.5,0
640828800,2165.25,2165.5,2162.25,2162.5,0
640915200,2160.75,2161.25,2157,2157.5,0
641001600,2156.25,2158.75,2156.25,2157.75,0
641088000,2158.5,2160.25,2156.75,2159.75,0
641174400,2158.75,2167.25,2158,2165.25,0
641433600,2164.25,2170.75,2164.25,2170,0
641520000,2170.75,2178.25,2165.25,2166,0
641606400,2168.25,2172.25,2168.25,2171.75,0
641692800,2171.75,2174.25,2170.25,2171,0
641779200,2171.75,2174.25,2169.25,2174,0
642038400,2175.25,2179.25,2173.25,2177,0
642124800,2178.75,2179.75,2170.25,2172.5,0
642211200,2171.25,2175.75,2170.25,2173.75,0
642297600,2175.75,2175.75,2172.5,2173.5,0
642384000,2171.25,2172.75,2166,2168.25,0
642643200,2168.5,2170.5,2166.25,2168.75,0
642729600,2169,2170.75,2165.5,2168,0
642816000,2167.75,2171.75,2167.75,2168.25,0
642902400,2168.75,2170.25,2167.5,2168.25,0
642988800,2168.5,2169,2163.25,2163.75,0
643248000,2163.25,2164.25,2160.25,2161.25,0
643334400,2161.25,2163.75,2158.5,2159,0
643420800,2158.75,2160.75,2156.5,2158,0
643507200,2158.75,2159.75,2154.25,2154.75,0
643593600,2154.75,2156.75,2152.75,2154.25,0
643939200,2155.25,2159.75,2154.5,2159.25,0
644025600,2158.25,2159.25,2154.75,2156.5,0
644112000,2156.75,2159,2154.75,2158,0
644198400,2157.75,2158,2152.75,2153.5,0
644457600,2152.25,2155.75,2150.25,2155.25,0
644544000,2155.25,2157.25,2154,2156.75,0
644630400,2156.75,2159.25,2154.75,2155.75,0
644716800,2156.25,2160.25,2156.25,2159,0
644803200,2159.75,2161.75,2154.75,2155,0
645062400,2153.75,2158.75,2153.25,2157,0
645148800,2157.75,2160,2157.75,2159.5,0
645235200,2159.25,2161.25,2157.75,2158.5,0
645321600,2158.25,2159.25,2155.75,2157,0
645408000,2156.5,2156.75,2151.75,2152.25,0
645667200,2151.25,2155.25,2150.25,2154,0
645753600,2154.75,2155.5,2153.25,2155.5,0
645840000,2155.75,2160.25,2155.75,2157,0
645926400,2156,2159.75,2156,2159.5,0
646012800,2159.75,2160.5,2155,2155.5,0
646272000,2154.5,2157.5,2154,2155.5,0
646358400,2155.5,2157.5,2155,2156.5,0
646444800,2157,2158.75,2156,2156.25,0
646531200,2155.75,2156.75,2153.5,2154,0
646617600,2152.5,2153.25,2149.25,2149.75,0
646876800,2150.25,2155.5,2150.25,2151,0
646963200,2151.25,2152.25,2148.75,2149,0
647136000,2148.25,2148.25,2143.75,2144,0
647222400,2143.5,2144,2134.75,2135,0
647481600,2135,2138.25,2133,2133.5,0
647568000,2133.75,2135.25,2132.5,2132.75,0
647654400,2132.75,2133.75,2130.75,2131.25,0
647740800,2131.75,2135.25,2129.75,2131.75,0
647827200,2133.5,2135.25,2133,2133.75,0
648086400,2134.25,2134.25,2127.75,2128,0
648172800,2127.25,2130.25,2126.75,2127,0
648259200,2127.25,2129.5,2125.75,2126,0
648345600,2126.25,2127.25,2121.75,2122.25,0
648432000,2122.75,2124.25,2118.25,2118.75,0
648691200,2117.75,2120.75,2115.25,2120.5,0
648777600,2121.75,2124.75,2120.75,2122.25,0
648864000,2123.25,2123.75,2119.75,2120.25,0
648950400,2120,2121.25,2118,2120.5,0
649036800,2120.75,2123.25,2117,2117.25,0
649296000,2115.75,2116.5,2111.75,2112.75,0
649382400,2112.75,2113.75,2106.25,2107,0
649468800,2106.25,2108.5,2099.75,2100,0
649555200,2100.75,2103.75,2097.75,2101.75,0
649641600,2100.25,2103.75,2099,2099.25,0
649900800,2099,2101.75,2097.5,2101,0
649987200,2102.25,2102.25,2099.75,2100,0
650073600,2100.25,2104.75,2099.25,2103.25,0
650160000,2104.25,2111.25,2104.25,2109,0
650246400,2109.25,2110.75,2098.75,2099.25,0
650505600,2099.75,2101.25,2092.5,2094,0
650592000,2094,2098.25,2094,2098.25,0
650678400,2099.25,2103.75,2098.5,2103.5,0
650764800,2104.75,2105.25,2101.75,2103.25,0
650851200,2102.75,2104.75,2100,2101,0
651110400,2101,2102,2099,2099.5,0
651196800,2098,2098.5,2095.25,2097.75,0
651283200,2097.5,2100.25,2096.5,2100,0
651369600,2100,2103.5,2100,2102.5,0
651456000,2103,2104,2101.75,2103.5,0
651715200,2101.5,2103,2099.25,2100.5,0
651801600,2100,2100.5,2096.5,2099.25,0
651888000,2099.75,2100,2093.75,2094.25,0
651974400,2092.5,2093,2086.5,2087,0
652060800,2087.5,2088,2081,2081.5,0
652406400,2081.5,2081.5,2076.25,2078.25,0
652492800,2078.5,2085,2078.5,2084.75,0
652579200,2086,2087,2084,2086.5,0
652665600,2085.5,2085.5,2082,2083.75,0
652924800,2082,2088,2079.75,2087.5,0
653011200,2088,2088.75,2084.75,2088,0
653097600,2087,2088.75,2085.75,2087,0
653184000,2078,2083,2075,2080.5,0
653270400,2079.5,2081.25,2076,2077.25,0
653529600,2076.5,2081.5,2075.25,2080,0
653616000,2080,2080.25,2077,2079,0
653702400,2077,2078.75,2073,2073.25,0
653788800,2073.5,2076.25,2071.75,2072.25,0
653875200,2072,2075,2071.75,2074.25,0
654134400,2074.5,2079.5,2073.5,2079.25,0
654220800,2080,2081.75,2078.25,2078.75,0
654307200,2077.75,2082.75,2077.5,2080.5,0
654393600,2082,2082.5,2080.25,2081.5,0
654480000,2082.5,2082.5,2078.5,2081.75,0
654739200,2079.5,2080.25,2071.5,2071.75,0
654825600,2072,2076.5,2072,2076.25,0
654912000,2077,2081,2077,2078.25,0
654998400,2078.5,2079.25,2077,2079,0
655084800,2078,2080.25,2077.5,2077.75,0
655344000,2078,2083.5,2076.25,2083.25,0
655430400,2082,2084,2080,2082.5,0
655516800,2082.5,2082.5,2078.25,2080.25,0
655603200,2079.5,2079.5,2073.5,2075.25,0
655689600,2077.5,2077.5,2068.5,2070.5,0
655948800,2069,2071.75,2067,2069,0
656035200,2069,2069.5,2064.5,2064.75,0
656121600,2065.5,2069,2065.25,2067.5,0
656208000,2067.5,2069.5,2066,2067.75,0
656294400,2067.5,2070.5,2066.75,2067.75,0
656553600,2067.5,2069.5,2066.25,2067.25,0
656640000,2066.5,2067.75,2065.25,2067.5,0
656726400,2068,2069.75,2067.75,2068.75,0
656812800,2068,2068.25,2066.75,2067.75,0
656899200,2067.25,2067.25,2064.5,2066.25,0
657162000,2065,2067,2064,2065.25,0
657248400,2066,2069,2065.5,2068.25,0
657334800,2068,2069,2065.5,2066,0
657421200,2065.5,2069,2065,2066.25,0
657507600,2066.5,2070,2065.75,2069.25,0
657766800,2068.5,2072,2065.75,2068.25,0
657853200,2069,2071,2068.5,2069.5,0
657939600,2069.5,2069.75,2068.75,2069.75,0
658026000,2070.75,2073.5,2069.75,2073.25,0
658112400,2072,2074.25,2069,2069.75,0
658371600,2069.75,2070.75,2067.5,2069,0
658458000,2069.25,2069.5,2066.75,2067,0
658544400,2066,2066,2059,2059.25,0
658630800,2059.5,2060.25,2051,2051.5,0
658717200,2052,2055.5,2051.75,2054.25,0
658976400,2055.5,2056.75,2055,2056,0
659062800,2053,2053.5,2047.75,2048.25,0
659149200,2049,2053.5,2047,2053,0
659322000,2053.75,2054.25,2049,2052.75,0
659581200,2052.5,2053.25,2047,2048.25,0
659667600,2048.25,2048.75,2044.5,2047.5,0
659754000,2048,2049.75,2048,2048.25,0
659840400,2048.75,2050,2044,2046,0
659926800,2048,2050,2045,2049.75,0
660186000,2050,2052,2049.25,2052,0
660272400,2052.25,2052.25,2047.5,2049.5,0
660358800,2049.5,2050.25,2047,2047.75,0
660445200,2047.25,2051.5,2047,2050.5,0
660531600,2049,2054.5,2049,2054.25,0
660790800,2054.5,2056.25,2053.5,2055.25,0
660877200,2055.5,2056,2054.25,2054.75,0
660963600,2055.5,2057.75,2053.5,2055,0
661050000,2052,2053,2050,2053,0
661136400,2053.5,2054,2052,2053.75,0
661395600,2053.75,2055,2053.5,2054.75,0
661482000,2054.5,2054.75,2050.75,2051.25,0
661568400,2051.5,2051.5,2048.5,2049.75,0
661654800,2048.5,2050,2047.25,2048.5,0
661741200,2049,2050,2048.5,2049.5,0
662000400,2049,2054.5,2048.75,2052.25,0
662173200,2052.5,2054,2052.5,2054,0
662259600,2054.25,2054.5,2049.5,2050.25,0
662346000,2050,2050.5,2046.5,2049.75,0
662605200,2050,2050.5,2047.5,2048.5,0
662778000,2048,2052,2044.5,2051.5,0
662864400,2050.5,2050.75,2046.5,2047.5,0
662950800,2046.5,2047.75,2044.25,2045.5,0
663210000,2045,2045.75,2043,2043.75,0
663296400,2044,2044.5,2038,2039.25,0
663382800,2040.5,2042,2038,2041.75,0
663469200,2042,2043.75,2041.75,2043.5,0
663555600,2043,2043.25,2039.75,2040.5,0
663814800,2037.5,2038,2035,2036.75,0
663901200,2037,2037.25,2032.5,2034.25,0
663987600,2035,2038.75,2035,2037.5,0
664074000,2036,2042.5,2033.5,2042,0
664160400,2044,2045.75,2040.25,2041.5,0
664419600,2041.5,2041.75,2038,2038.25,0
664506000,2039.5,2042.5,2039.25,2041,0
664592400,2040.5,2041.5,2038,2039.5,0
664678800,2038.5,2040.75,2038,2040.5,0
664765200,2039.5,2043.5,2039.25,2043.25,0
665024400,2042.25,2048.5,2041.75,2045.5,0
665110800,2045,2047.75,2044.75,2047.5,0
665197200,2046.75,2049,2046.25,2048.75,0
665283600,2050,2051.25,2045.5,2051,0
665370000,2051,2051.5,2048.5,2050.25,0
665629200,2049.5,2050.5,2047.25,2047.75,0
665715600,2047.25,2047.25,2044,2044.25,0
665802000,2043,2043.25,2039,2039.25,0
665888400,2038.75,2040.25,2036,2038.75,0
665974800,2038.5,2042,2038.5,2040.75,0
666234000,2041.5,2042.5,2038,2039.75,0
666320400,2039.5,2041.5,2039,2040.75,0
666406800,2041.25,2043.5,2040.5,2043.25,0
666493200,2044,2045.25,2042.75,2044.25,0
666579600,2044.25,2045.5,2042.5,2044.25,0
666925200,2044.25,2044.25,2042.25,2042.5,0
667011600,2041.75,2041.75,2040,2041,0
667098000,2040,2041.75,2039.75,2041,0
667184400,2041,2041.5,2039.75,2040,0
667443600,2039.75,2042.5,2039.5,2042.25,0
667530000,2042.75,2044.5,2042.25,2043.5,0
667616400,2043.75,2043.75,2041.25,2041.5,0
667702800,2041.25,2047.75,2041,2047.25,0
667789200,2047.25,2056.75,2047.25,2056.5,0
668048400,2057.25,2064.75,2057.25,2058.5,0
668134800,2059.25,2062.75,2056.75,2062.75,0
668221200,2063.75,2065.75,2061.25,2061.5,0
668307600,2060.75,2060.75,2058.25,2060,0
668394000,2060,2062.5,2059.5,2061.25,0
668653200,2059.75,2060,2057.25,2058.25,0
668739600,2058.25,2066.75,2057.75,2064.75,0
668826000,2065.75,2066.75,2064.25,2066,0
668912400,2061.75,2062.75,2060.5,2061.25,0
668998800,2059.75,2059.75,2052.75,2053,0
669258000,2050.75,2056.25,2050.25,2055,0
669344400,2055.75,2056.75,2051.75,2056.75,0
669430800,2056.5,2058.5,2054.25,2055.5,0
669517200,2055.75,2056.75,2053.75,2055.25,0
669603600,2056.5,2060.75,2056.5,2060.75,0
669862800,2061.25,2063.75,2060,2062,0
669949200,2061.25,2061.75,2057.25,2057.5,0
