time,open,high,low,close
2023-01-02T23:00:00Z,3.8355,3.8485,3.8305,3.84
2023-01-03T00:00:00Z,3.84,3.8495,3.8395,3.846
2023-01-03T01:00:00Z,3.8465,3.8495,3.7925,3.813
2023-01-03T02:00:00Z,3.8135,3.857,3.812,3.8535
2023-01-03T03:00:00Z,3.8535,3.8655,3.852,3.862
2023-01-03T04:00:00Z,3.8625,3.8695,3.861,3.8615
2023-01-03T05:00:00Z,3.861,3.8715,3.854,3.867
2023-01-03T06:00:00Z,3.867,3.869,3.8535,3.8585
2023-01-03T07:00:00Z,3.858,3.861,3.8385,3.845
2023-01-03T08:00:00Z,3.845,3.8535,3.815,3.8185
2023-01-03T09:00:00Z,3.819,3.844,3.809,3.843
2023-01-03T10:00:00Z,3.844,3.8455,3.8265,3.8265
2023-01-03T11:00:00Z,3.8265,3.8265,3.8155,3.8205
2023-01-03T12:00:00Z,3.82,3.8255,3.8165,3.8195
2023-01-03T13:00:00Z,3.8195,3.839,3.8195,3.8315
2023-01-03T14:00:00Z,3.8315,3.847,3.819,3.8295
2023-01-03T15:00:00Z,3.8295,3.832,3.8035,3.8055
2023-01-03T16:00:00Z,3.806,3.807,3.7715,3.7765
2023-01-03T17:00:00Z,3.7765,3.7765,3.764,3.767
2023-01-03T18:00:00Z,3.767,3.774,3.7635,3.77
2023-01-03T19:00:00Z,3.7695,3.771,3.7585,3.7665
2023-01-03T20:00:00Z,3.767,3.77,3.7605,3.768
2023-01-03T21:00:00Z,3.768,3.7705,3.765,3.769
2023-01-03T23:00:00Z,3.771,3.775,3.7655,3.772
2023-01-04T00:00:00Z,3.772,3.7775,3.77,3.7755
2023-01-04T01:00:00Z,3.7755,3.7895,3.7755,3.789
2023-01-04T02:00:00Z,3.7885,3.79,3.782,3.7835
2023-01-04T03:00:00Z,3.7835,3.7845,3.774,3.775
2023-01-04T04:00:00Z,3.775,3.779,3.7745,3.7785
2023-01-04T05:00:00Z,3.7785,3.7815,3.768,3.768
2023-01-04T06:00:00Z,3.7675,3.778,3.765,3.769
2023-01-04T07:00:00Z,3.7685,3.796,3.768,3.795
2023-01-04T08:00:00Z,3.7945,3.807,3.7895,3.802
2023-01-04T09:00:00Z,3.802,3.802,3.7865,3.791
2023-01-04T10:00:00Z,3.791,3.7915,3.7745,3.777
2023-01-04T11:00:00Z,3.7765,3.7765,3.739,3.745
2023-01-04T12:00:00Z,3.745,3.745,3.7085,3.719
2023-01-04T13:00:00Z,3.7185,3.7535,3.714,3.747
2023-01-04T14:00:00Z,3.7475,3.7655,3.7375,3.743
2023-01-04T15:00:00Z,3.743,3.7505,3.7205,3.7325
2023-01-04T16:00:00Z,3.733,3.744,3.7255,3.7435
2023-01-04T17:00:00Z,3.744,3.753,3.7385,3.7385
2023-01-04T18:00:00Z,3.7385,3.749,3.7385,3.739
2023-01-04T19:00:00Z,3.7395,3.7455,3.731,3.7445
2023-01-04T20:00:00Z,3.7445,3.746,3.7385,3.7425
2023-01-04T21:00:00Z,3.7415,3.745,3.7405,3.7425
2023-01-04T23:00:00Z,3.7405,3.746,3.74,3.742
2023-01-05T00:00:00Z,3.742,3.7495,3.7395,3.748
2023-01-05T01:00:00Z,3.748,3.752,3.7345,3.7465
2023-01-05T02:00:00Z,3.7465,3.7465,3.729,3.732
2023-01-05T03:00:00Z,3.732,3.734,3.7235,3.7235
2023-01-05T04:00:00Z,3.724,3.728,3.7215,3.7275
2023-01-05T05:00:00Z,3.7275,3.7495,3.726,3.749
2023-01-05T06:00:00Z,3.7495,3.7615,3.747,3.752
2023-01-05T07:00:00Z,3.752,3.758,3.73,3.7385
2023-01-05T08:00:00Z,3.7385,3.746,3.731,3.7425
2023-01-05T09:00:00Z,3.743,3.8025,3.743,3.802
2023-01-05T10:00:00Z,3.802,3.826,3.8015,3.8165
2023-01-05T11:00:00Z,3.8165,3.8335,3.814,3.828
2023-01-05T12:00:00Z,3.8265,3.835,3.815,3.8175
2023-01-05T13:00:00Z,3.8175,3.8295,3.806,3.808
2023-01-05T14:00:00Z,3.808,3.8145,3.7945,3.813
2023-01-05T15:00:00Z,3.8135,3.8175,3.8025,3.808
2023-01-05T16:00:00Z,3.8085,3.816,3.7995,3.809
2023-01-05T17:00:00Z,3.809,3.824,3.8085,3.82
2023-01-05T18:00:00Z,3.82,3.842,3.813,3.8335
2023-01-05T19:00:00Z,3.8335,3.836,3.8245,3.8275
2023-01-05T20:00:00Z,3.827,3.8275,3.8245,3.8275
2023-01-05T21:00:00Z,3.8275,3.8305,3.826,3.827
2023-01-05T23:00:00Z,3.8255,3.829,3.8235,3.8265
2023-01-06T00:00:00Z,3.8265,3.8275,3.8215,3.822
2023-01-06T01:00:00Z,3.8225,3.831,3.8145,3.819
2023-01-06T02:00:00Z,3.8185,3.8275,3.8175,3.8275
2023-01-06T03:00:00Z,3.8275,3.865,3.8255,3.8605
2023-01-06T04:00:00Z,3.861,3.865,3.8585,3.86
2023-01-06T05:00:00Z,3.86,3.8605,3.8315,3.833
2023-01-06T06:00:00Z,3.833,3.848,3.8305,3.846
2023-01-06T07:00:00Z,3.8465,3.853,3.8325,3.8375
2023-01-06T08:00:00Z,3.837,3.8465,3.828,3.839
2023-01-06T09:00:00Z,3.839,3.84,3.814,3.8325
2023-01-06T10:00:00Z,3.832,3.8375,3.8275,3.8305
2023-01-06T11:00:00Z,3.8305,3.8345,3.8145,3.815
2023-01-06T12:00:00Z,3.8155,3.817,3.799,3.81
2023-01-06T13:00:00Z,3.81,3.859,3.7985,3.8585
2023-01-06T14:00:00Z,3.8585,3.8835,3.834,3.8385
2023-01-06T15:00:00Z,3.8395,3.885,3.8395,3.8805
2023-01-06T16:00:00Z,3.88,3.909,3.873,3.905
2023-01-06T17:00:00Z,3.905,3.918,3.9035,3.911
2023-01-06T18:00:00Z,3.911,3.9215,3.9065,3.9125
2023-01-06T19:00:00Z,3.9125,3.924,3.9125,3.921
2023-01-06T20:00:00Z,3.9205,3.9265,3.915,3.9245
2023-01-06T21:00:00Z,3.924,3.93,3.9215,3.9235
2023-01-08T23:00:00Z,3.9235,3.9885,3.9235,3.975
2023-01-09T00:00:00Z,3.9755,3.9815,3.954,3.955
2023-01-09T01:00:00Z,3.9555,3.956,3.932,3.953
2023-01-09T02:00:00Z,3.9535,3.9685,3.9515,3.9675
2023-01-09T03:00:00Z,3.9675,3.9685,3.957,3.9605
2023-01-09T04:00:00Z,3.96,3.9695,3.9595,3.968
2023-01-09T05:00:00Z,3.968,3.9715,3.957,3.96
2023-01-09T06:00:00Z,3.9605,3.9675,3.957,3.959
2023-01-09T07:00:00Z,3.9595,3.966,3.9525,3.9585
2023-01-09T08:00:00Z,3.9585,3.9945,3.9555,3.9895
2023-01-09T09:00:00Z,3.991,4.0135,3.99,4.009
2023-01-09T10:00:00Z,4.0095,4.0135,3.9845,3.9935
2023-01-09T11:00:00Z,3.9945,4.001,3.981,3.986
2023-01-09T12:00:00Z,3.986,3.9945,3.9795,3.982
2023-01-09T13:00:00Z,3.9825,4.004,3.9775,4.0015
2023-01-09T14:00:00Z,4.002,4.029,3.9965,4.027
2023-01-09T15:00:00Z,4.027,4.038,4.021,4.0315
2023-01-09T16:00:00Z,4.0315,4.043,4.0285,4.0345
2023-01-09T17:00:00Z,4.035,4.0445,4.02,4.023
2023-01-09T18:00:00Z,4.0235,4.0255,4.002,4.0065
2023-01-09T19:00:00Z,4.0065,4.0135,4.0035,4.0105
2023-01-09T20:00:00Z,4.0105,4.011,4.0035,4.0085
2023-01-09T21:00:00Z,4.0085,4.012,4.005,4.01
2023-01-09T23:00:00Z,4.012,4.012,4.0035,4.0045
2023-01-10T00:00:00Z,4.0045,4.0085,3.99,4.008
2023-01-10T01:00:00Z,4.0075,4.0115,4.001,4.006
2023-01-10T02:00:00Z,4.0065,4.0125,3.9875,3.998
2023-01-10T03:00:00Z,3.9985,4.006,3.996,4.004
2023-01-10T04:00:00Z,4.0035,4.01,3.999,4.0035
2023-01-10T05:00:00Z,4.003,4.011,3.9995,4.0035
2023-01-10T06:00:00Z,4.004,4.0105,3.994,4.0035
2023-01-10T07:00:00Z,4.0035,4.0095,3.99,4.0025
2023-01-10T08:00:00Z,4.003,4.027,3.9935,4.0245
2023-01-10T09:00:00Z,4.024,4.025,4.007,4.019
2023-01-10T10:00:00Z,4.019,4.0235,4.016,4.018
2023-01-10T11:00:00Z,4.019,4.03,4.0135,4.0175
2023-01-10T12:00:00Z,4.0175,4.018,4.004,4.012
2023-01-10T13:00:00Z,4.012,4.023,4.008,4.0225
2023-01-10T14:00:00Z,4.0225,4.04,4.019,4.036
2023-01-10T15:00:00Z,4.0365,4.0485,4.0315,4.043
2023-01-10T16:00:00Z,4.043,4.0705,4.039,4.0685
2023-01-10T17:00:00Z,4.0675,4.0795,4.0655,4.0775
2023-01-10T18:00:00Z,4.077,4.0795,4.07,4.0745
2023-01-10T19:00:00Z,4.075,4.0835,4.073,4.078
2023-01-10T20:00:00Z,4.0775,4.081,4.074,4.081
2023-01-10T21:00:00Z,4.081,4.0825,4.078,4.081
2023-01-10T23:00:00Z,4.08,4.0805,4.073,4.077
2023-01-11T00:00:00Z,4.077,4.0805,4.073,4.078
2023-01-11T01:00:00Z,4.0775,4.0795,4.0655,4.073
2023-01-11T02:00:00Z,4.0735,4.091,4.071,4.0905
2023-01-11T03:00:00Z,4.0905,4.0935,4.0805,4.085
2023-01-11T04:00:00Z,4.085,4.088,4.08,4.088
2023-01-11T05:00:00Z,4.087,4.0975,4.085,4.0925
2023-01-11T06:00:00Z,4.093,4.106,4.0895,4.0975
2023-01-11T07:00:00Z,4.097,4.097,4.079,4.0945
2023-01-11T08:00:00Z,4.0945,4.1245,4.0885,4.1145
2023-01-11T09:00:00Z,4.114,4.128,4.112,4.121
2023-01-11T10:00:00Z,4.121,4.1285,4.1115,4.115
2023-01-11T11:00:00Z,4.116,4.1195,4.1025,4.105
2023-01-11T12:00:00Z,4.1055,4.113,4.098,4.104
2023-01-11T13:00:00Z,4.1045,4.1415,4.1045,4.1415
2023-01-11T14:00:00Z,4.142,4.1645,4.1345,4.1555
2023-01-11T15:00:00Z,4.1545,4.16,4.134,4.152
2023-01-11T16:00:00Z,4.152,4.171,4.1505,4.16
2023-01-11T17:00:00Z,4.1605,4.176,4.155,4.165
2023-01-11T18:00:00Z,4.1655,4.185,4.164,4.179
2023-01-11T19:00:00Z,4.179,4.184,4.173,4.1805
2023-01-11T20:00:00Z,4.181,4.1825,4.1775,4.1785
2023-01-11T21:00:00Z,4.1785,4.182,4.176,4.1765
2023-01-11T23:00:00Z,4.1755,4.1775,4.167,4.168
2023-01-12T00:00:00Z,4.1685,4.1735,4.1665,4.17
2023-01-12T01:00:00Z,4.1695,4.1865,4.165,4.171
2023-01-12T02:00:00Z,4.1715,4.1735,4.1525,4.162
2023-01-12T03:00:00Z,4.162,4.1635,4.1405,4.1495
2023-01-12T04:00:00Z,4.15,4.1565,4.149,4.155
2023-01-12T05:00:00Z,4.1545,4.1625,4.1475,4.1535
2023-01-12T06:00:00Z,4.1535,4.159,4.1475,4.1525
2023-01-12T07:00:00Z,4.1515,4.164,4.1375,4.163
2023-01-12T08:00:00Z,4.164,4.165,4.1295,4.1335
2023-01-12T09:00:00Z,4.1335,4.154,4.131,4.1465
2023-01-12T10:00:00Z,4.1455,4.1485,4.133,4.136
2023-01-12T11:00:00Z,4.136,4.149,4.135,4.145
2023-01-12T12:00:00Z,4.1455,4.1575,4.1425,4.156
2023-01-12T13:00:00Z,4.157,4.2115,4.1325,4.201
2023-01-12T14:00:00Z,4.202,4.2035,4.136,4.144
2023-01-12T15:00:00Z,4.1445,4.183,4.141,4.179
2023-01-12T16:00:00Z,4.179,4.195,4.1695,4.1835
2023-01-12T17:00:00Z,4.1835,4.2005,4.183,4.1955
2023-01-12T18:00:00Z,4.195,4.1965,4.1805,4.1825
2023-01-12T19:00:00Z,4.183,4.188,4.171,4.172
2023-01-12T20:00:00Z,4.1725,4.1745,4.164,4.1725
2023-01-12T21:00:00Z,4.1725,4.175,4.1685,4.173
2023-01-12T23:00:00Z,4.173,4.175,4.169,4.1735
2023-01-13T00:00:00Z,4.174,4.18,4.1735,4.177
2023-01-13T01:00:00Z,4.1765,4.1875,4.1725,4.1865
2023-01-13T02:00:00Z,4.186,4.1925,4.171,4.184
2023-01-13T03:00:00Z,4.1845,4.1895,4.176,4.1805
2023-01-13T04:00:00Z,4.1805,4.1805,4.172,4.173
2023-01-13T05:00:00Z,4.173,4.178,4.1635,4.172
2023-01-13T06:00:00Z,4.1725,4.173,4.1635,4.1655
2023-01-13T07:00:00Z,4.166,4.184,4.164,4.183
2023-01-13T08:00:00Z,4.1835,4.1965,4.17,4.17
2023-01-13T09:00:00Z,4.1705,4.1895,4.1635,4.181
2023-01-13T10:00:00Z,4.1815,4.1955,4.181,4.187
2023-01-13T11:00:00Z,4.1865,4.1915,4.1685,4.169
2023-01-13T12:00:00Z,4.1695,4.1735,4.141,4.151
2023-01-13T13:00:00Z,4.1505,4.1615,4.1285,4.153
2023-01-13T14:00:00Z,4.153,4.1915,4.149,4.1855
2023-01-13T15:00:00Z,4.1845,4.201,4.178,4.1875
2023-01-13T16:00:00Z,4.188,4.197,4.183,4.1895
2023-01-13T17:00:00Z,4.1895,4.219,4.189,4.214
2023-01-13T18:00:00Z,4.2145,4.2195,4.2065,4.2135
2023-01-13T19:00:00Z,4.2135,4.221,4.2135,4.2195
2023-01-13T20:00:00Z,4.2195,4.2225,4.217,4.218
2023-01-13T21:00:00Z,4.218,4.2215,4.2145,4.2175
2023-01-15T23:00:00Z,4.2105,4.2215,4.2055,4.2055
2023-01-16T00:00:00Z,4.2065,4.211,4.2035,4.2035
2023-01-16T01:00:00Z,4.2035,4.207,4.1855,4.1995
2023-01-16T02:00:00Z,4.199,4.206,4.1935,4.198
2023-01-16T03:00:00Z,4.199,4.201,4.1885,4.194
2023-01-16T04:00:00Z,4.194,4.199,4.1875,4.191
2023-01-16T05:00:00Z,4.1905,4.1935,4.1755,4.178
2023-01-16T06:00:00Z,4.178,4.184,4.1665,4.1765
2023-01-16T07:00:00Z,4.1755,4.1875,4.1725,4.1865
2023-01-16T08:00:00Z,4.186,4.186,4.16,4.161
2023-01-16T09:00:00Z,4.162,4.179,4.1605,4.1775
2023-01-16T10:00:00Z,4.1765,4.1835,4.173,4.176
2023-01-16T11:00:00Z,4.1765,4.188,4.1765,4.1815
2023-01-16T12:00:00Z,4.1815,4.1825,4.169,4.169
2023-01-16T13:00:00Z,4.1695,4.173,4.144,4.1475
2023-01-16T14:00:00Z,4.148,4.1565,4.1415,4.152
2023-01-16T15:00:00Z,4.1515,4.1595,4.148,4.1505
2023-01-16T16:00:00Z,4.151,4.158,4.138,4.1425
2023-01-16T17:00:00Z,4.1425,4.147,4.1415,4.1445
2023-01-16T18:00:00Z,4.1445,4.1475,4.141,4.1425
2023-01-16T19:00:00Z,4.1425,4.143,4.138,4.139
2023-01-16T23:00:00Z,4.1385,4.146,4.138,4.1435
2023-01-17T00:00:00Z,4.1435,4.151,4.142,4.148
2023-01-17T01:00:00Z,4.148,4.1585,4.142,4.146
2023-01-17T02:00:00Z,4.1455,4.1555,4.1205,4.1285
2023-01-17T03:00:00Z,4.128,4.1355,4.124,4.1305
2023-01-17T04:00:00Z,4.13,4.134,4.1265,4.128
2023-01-17T05:00:00Z,4.128,4.137,4.126,4.133
2023-01-17T06:00:00Z,4.133,4.14,4.113,4.1165
2023-01-17T07:00:00Z,4.1165,4.1315,4.1105,4.1285
2023-01-17T08:00:00Z,4.1285,4.1475,4.126,4.139
2023-01-17T09:00:00Z,4.139,4.147,4.126,4.1415
2023-01-17T10:00:00Z,4.141,4.1565,4.141,4.154
2023-01-17T11:00:00Z,4.1545,4.1665,4.1505,4.163
2023-01-17T12:00:00Z,4.163,4.165,4.1505,4.1555
2023-01-17T13:00:00Z,4.155,4.162,4.1435,4.1475
2023-01-17T14:00:00Z,4.1485,4.207,4.147,4.1985
2023-01-17T15:00:00Z,4.1985,4.203,4.1755,4.1875
2023-01-17T16:00:00Z,4.188,4.237,4.1855,4.2275
2023-01-17T17:00:00Z,4.228,4.228,4.21,4.224
2023-01-17T18:00:00Z,4.2235,4.236,4.222,4.2305
2023-01-17T19:00:00Z,4.2305,4.2405,4.228,4.2345
2023-01-17T20:00:00Z,4.234,4.2445,4.2325,4.236
2023-01-17T21:00:00Z,4.236,4.2385,4.2325,4.233
2023-01-17T23:00:00Z,4.2335,4.2335,4.2265,4.2275
2023-01-18T00:00:00Z,4.227,4.23,4.223,4.225
2023-01-18T01:00:00Z,4.2255,4.24,4.215,4.2175
2023-01-18T02:00:00Z,4.218,4.2305,4.2145,4.229
2023-01-18T03:00:00Z,4.23,4.235,4.2075,4.2255
2023-01-18T04:00:00Z,4.2245,4.2345,4.214,4.2305
2023-01-18T05:00:00Z,4.2315,4.2555,4.222,4.254
2023-01-18T06:00:00Z,4.2535,4.2655,4.243,4.251
2023-01-18T07:00:00Z,4.2505,4.2765,4.2485,4.2745
2023-01-18T08:00:00Z,4.2745,4.302,4.2685,4.2965
2023-01-18T09:00:00Z,4.297,4.32,4.2945,4.3155
2023-01-18T10:00:00Z,4.316,4.316,4.3,4.303
2023-01-18T11:00:00Z,4.303,4.313,4.299,4.302
2023-01-18T12:00:00Z,4.3005,4.311,4.296,4.309
2023-01-18T13:00:00Z,4.309,4.332,4.3075,4.329
2023-01-18T14:00:00Z,4.329,4.355,4.3215,4.3285
2023-01-18T15:00:00Z,4.3295,4.3345,4.304,4.308
2023-01-18T16:00:00Z,4.308,4.308,4.2365,4.243
2023-01-18T17:00:00Z,4.243,4.246,4.205,4.2345
2023-01-18T18:00:00Z,4.235,4.2385,4.2205,4.2255
2023-01-18T19:00:00Z,4.2255,4.228,4.2175,4.2205
2023-01-18T20:00:00Z,4.22,4.226,4.2185,4.2215
2023-01-18T21:00:00Z,4.2215,4.2285,4.2215,4.228
2023-01-18T23:00:00Z,4.2265,4.23,4.22,4.229
2023-01-19T00:00:00Z,4.229,4.2315,4.2095,4.2105
2023-01-19T01:00:00Z,4.211,4.224,4.196,4.2
2023-01-19T02:00:00Z,4.2,4.2135,4.196,4.206
2023-01-19T03:00:00Z,4.2055,4.2095,4.189,4.196
2023-01-19T04:00:00Z,4.196,4.1975,4.183,4.184
2023-01-19T05:00:00Z,4.184,4.1995,4.18,4.1975
2023-01-19T06:00:00Z,4.197,4.2055,4.1855,4.202
2023-01-19T07:00:00Z,4.2015,4.2045,4.1835,4.1995
2023-01-19T08:00:00Z,4.1995,4.218,4.191,4.2005
2023-01-19T09:00:00Z,4.201,4.2045,4.1825,4.1895
2023-01-19T10:00:00Z,4.1895,4.1905,4.168,4.176
2023-01-19T11:00:00Z,4.176,4.189,4.173,4.187
2023-01-19T12:00:00Z,4.1875,4.196,4.179,4.18
2023-01-19T13:00:00Z,4.1795,4.2245,4.175,4.222
2023-01-19T14:00:00Z,4.2215,4.2365,4.2065,4.2305
2023-01-19T15:00:00Z,4.231,4.2685,4.2285,4.243
2023-01-19T16:00:00Z,4.243,4.2465,4.2125,4.217
2023-01-19T17:00:00Z,4.2185,4.241,4.2185,4.23
2023-01-19T18:00:00Z,4.2305,4.2495,4.2285,4.2445
2023-01-19T19:00:00Z,4.245,4.254,4.2395,4.2515
2023-01-19T20:00:00Z,4.2515,4.257,4.248,4.248
2023-01-19T21:00:00Z,4.248,4.2505,4.247,4.248
2023-01-19T23:00:00Z,4.245,4.251,4.245,4.246
2023-01-20T00:00:00Z,4.246,4.2495,4.2405,4.2425
