time,open,high,low,close
1989-03-01,16.58,16.58,16.58,16.58
1989-03-02,16.71,16.71,16.71,16.71
1989-03-03,16.94,16.94,16.94,16.94
1989-03-06,16.53,16.53,16.53,16.53
1989-03-07,16.45,16.45,16.45,16.45
1989-03-08,16.35,16.35,16.35,16.35
1989-03-09,16.64,16.64,16.64,16.64
1989-03-10,16.59,16.59,16.59,16.59
1989-03-13,16.86,16.86,16.86,16.86
1989-03-14,17.26,17.26,17.26,17.26
1989-03-15,17.65,17.65,17.65,17.65
1989-03-16,17.67,17.67,17.67,17.67
1989-03-17,17.91,17.91,17.91,17.91
1989-03-20,17.88,17.88,17.88,17.88
1989-03-21,18.32,18.32,18.32,18.32
1989-03-22,18.52,18.52,18.52,18.52
1989-03-23,18.66,18.66,18.66,18.66
1989-03-28,18.58,18.58,18.58,18.58
1989-03-29,18.65,18.65,18.65,18.65
1989-03-30,19.16,19.16,19.16,19.16
1989-03-31,19.58,19.58,19.58,19.58
1989-04-03,18.93,18.93,18.93,18.93
1989-04-04,18.22,18.22,18.22,18.22
1989-04-05,18.13,18.13,18.13,18.13
1989-04-06,17.87,17.87,17.87,17.87
1989-04-07,17.85,17.85,17.85,17.85
1989-04-10,18.13,18.13,18.13,18.13
1989-04-11,18.43,18.43,18.43,18.43
1989-04-12,18.31,18.31,18.31,18.31
1989-04-13,18.43,18.43,18.43,18.43
1989-04-14,18.23,18.23,18.23,18.23
1989-04-17,18.59,18.59,18.59,18.59
1989-04-18,18.91,18.91,18.91,18.91
1989-04-19,19.79,19.79,19.79,19.79
1989-04-20,20.21,20.21,20.21,20.21
1989-04-21,19.89,19.89,19.89,19.89
1989-04-24,19.64,19.64,19.64,19.64
1989-04-25,19.31,19.31,19.31,19.31
1989-04-26,19.34,19.34,19.34,19.34
1989-04-27,19.02,19.02,19.02,19.02
1989-04-28,18.62,18.62,18.62,18.62
1989-05-02,18.32,18.32,18.32,18.32
1989-05-03,17.84,17.84,17.84,17.84
1989-05-04,17.88,17.88,17.88,17.88
1989-05-05,17.7,17.7,17.7,17.7
1989-05-08,17.14,17.14,17.14,17.14
1989-05-09,17.22,17.22,17.22,17.22
1989-05-10,17.13,17.13,17.13,17.13
1989-05-11,17.45,17.45,17.45,17.45
1989-05-12,17.4,17.4,17.4,17.4
1989-05-15,17.4,17.4,17.4,17.4
1989-05-16,17.78,17.78,17.78,17.78
1989-05-17,17.25,17.25,17.25,17.25
1989-05-18,17.13,17.13,17.13,17.13
1989-05-19,17.3,17.3,17.3,17.3
1989-05-22,16.76,16.76,16.76,16.76
1989-05-23,17.17,17.17,17.17,17.17
1989-05-24,17.42,17.42,17.42,17.42
1989-05-25,17.65,17.65,17.65,17.65
1989-05-26,17.25,17.25,17.25,17.25
1989-05-30,17.55,17.55,17.55,17.55
1989-05-31,17.64,17.64,17.64,17.64
1989-06-01,17.58,17.58,17.58,17.58
1989-06-02,17.54,17.54,17.54,17.54
1989-06-05,17.79,17.79,17.79,17.79
1989-06-06,17.76,17.76,17.76,17.76
1989-06-07,17.63,17.63,17.63,17.63
1989-06-08,17.12,17.12,17.12,17.12
1989-06-09,17.34,17.34,17.34,17.34
1989-06-12,16.63,16.63,16.63,16.63
1989-06-13,16.23,16.23,16.23,16.23
1989-06-14,16.18,16.18,16.18,16.18
1989-06-15,16.26,16.26,16.26,16.26
1989-06-16,16.12,16.12,16.12,16.12
1989-06-19,16.22,16.22,16.22,16.22
1989-06-20,16.34,16.34,16.34,16.34
1989-06-21,16.48,16.48,16.48,16.48
1989-06-22,16.88,16.88,16.88,16.88
1989-06-23,17.2,17.2,17.2,17.2
1989-06-26,17.35,17.35,17.35,17.35
1989-06-27,17.47,17.47,17.47,17.47
1989-06-28,17.45,17.45,17.45,17.45
1989-06-29,17.55,17.55,17.55,17.55
1989-06-30,17.51,17.51,17.51,17.51
1989-07-03,17.82,17.82,17.82,17.82
1989-07-04,17.47,17.47,17.47,17.47
1989-07-05,17.59,17.59,17.59,17.59
1989-07-06,17.32,17.32,17.32,17.32
1989-07-07,17.21,17.21,17.21,17.21
1989-07-10,17.16,17.16,17.16,17.16
1989-07-11,17.11,17.11,17.11,17.11
1989-07-12,17.21,17.21,17.21,17.21
1989-07-13,17.05,17.05,17.05,17.05
1989-07-14,17.39,17.39,17.39,17.39
1989-07-17,17.43,17.43,17.43,17.43
1989-07-18,17.54,17.54,17.54,17.54
1989-07-19,17.34,17.34,17.34,17.34
1989-07-20,17.47,17.47,17.47,17.47
1989-07-21,17.41,17.41,17.41,17.41
1989-07-24,17,17,17,17
1989-07-25,16.92,16.92,16.92,16.92
1989-07-26,16.6,16.6,16.6,16.6
1989-07-27,16.72,16.72,16.72,16.72
1989-07-28,16.62,16.62,16.62,16.62
1989-07-31,16.67,16.67,16.67,16.67
1989-08-01,16.4,16.4,16.4,16.4
1989-08-02,16.47,16.47,16.47,16.47
1989-08-03,16.58,16.58,16.58,16.58
1989-08-04,16.48,16.48,16.48,16.48
1989-08-07,16.4,16.4,16.4,16.4
1989-08-08,16.54,16.54,16.54,16.54
1989-08-09,16.64,16.64,16.64,16.64
1989-08-10,16.88,16.88,16.88,16.88
1989-08-11,16.91,16.91,16.91,16.91
1989-08-14,16.79,16.79,16.79,16.79
1989-08-15,16.87,16.87,16.87,16.87
1989-08-16,16.96,16.96,16.96,16.96
1989-08-17,16.89,16.89,16.89,16.89
