time,open,high,low,close
2024-11-07,52258.95,52377.25,51752.25,51916.5
2024-11-08,51869.15,52007.15,51494,51561.2
2024-11-11,51562.7,52177.7,51294.2,51876.75
2024-11-12,52053.75,52169.05,51006.85,51157.8
2024-11-13,51030.95,51353.5,49904.4,50088.35
2024-11-14,50053.45,50561.8,49939.35,50179.55
2024-11-18,50312.45,50445.8,50074,50363.8
2024-11-19,50580.55,50983.5,50440.85,50626.5
2024-11-21,50625,50652.15,49787.1,50372.9
2024-11-22,50512.8,51271.5,50508.25,51135.4
2024-11-25,52046.35,52331.1,51774.05,52207.5
2024-11-26,52554.9,52555.5,51999.75,52191.5
2024-11-27,52154.3,52444.35,52019.65,52301.8
2024-11-28,52389.95,52760.2,51782.9,51906.85
2024-11-29,51984.15,52170.9,51759.45,52055.6
2024-12-02,52087.65,52197.25,51693.95,52109
2024-12-03,52357.95,52780.9,52216.85,52695.75
2024-12-04,52775,53387.1,52685.15,53266.9
2024-12-05,53354.45,53888.3,52850.35,53603.55
2024-12-06,53634.2,53868.5,53160.65,53509.5
2024-12-09,53380.75,53775.1,53326.4,53407.75
2024-12-10,53450.05,53624.05,53302.65,53577.7
2024-12-11,53459.3,53648.05,53302.15,53391.35
2024-12-12,53201,53537.45,53174.4,53216.45
2024-12-13,53109.8,53654,52264.55,53583.8
2024-12-16,53502.5,53738.9,53335,53581.35
2024-12-17,53394.1,53515.7,52709.4,52834.8
2024-12-18,52696.95,52827.6,52010.65,52139.55
2024-12-19,51428.45,51789.85,51263.75,51575.7
2024-12-20,51401.35,51629,50609.35,50759.2
2024-12-23,51044.4,51417.35,51030.4,51317.6
2024-12-24,51314.95,51382.1,51137.5,51233
2024-12-26,51395.8,51740,50951.8,51170.7
2024-12-27,51268.2,51628.45,51240.1,51311.3
2024-12-30,51255.35,51979.75,50718.35,50952.75
2024-12-31,50648.2,50945.55,50599.8,50860.2
2025-01-01,50841.9,51321.95,50485.05,51060.6
2025-01-02,51084.95,51672.75,50992.8,51605.55
2025-01-03,51567.15,51671.6,50904.35,50988.8
2025-01-06,50990.65,51026.1,49751,49922
2025-01-07,50061.2,50447.6,49969.3,50202.15
