time,open,high,low,close
2023-09-27,-11570.8,-11391.1,-11593.6,-11469.6
2023-09-28,-11476.6,-11257.400000000001,-11586.400000000001,-11275.400000000001
2023-09-29,-11269.2,-11127.1,-11306,-11128.5
2023-10-02,-11110,-11110,-11648.1,-11436.8
2023-10-03,-11447.7,-11346.800000000001,-11518.900000000001,-11476.800000000001
2023-10-04,-11490.900000000001,-11209.699999999999,-11490.900000000001,-11223.199999999999
2023-10-05,-11214,-11156.3,-11341.8,-11159.099999999999
2023-10-06,-11159.9,-11103.2,-11249.800000000001,-11144.900000000001
2023-10-09,-11145.900000000001,-11106.3,-11366.8,-11228.9
2023-10-10,-11213,-10975,-11392.900000000001,-11305.7
2023-10-11,-11296.8,-11219.3,-11487.8,-11379.8
2023-10-12,-11333.8,-11283.3,-11520.8,-11481.9
2023-10-13,-11483.199999999999,-11483.199999999999,-12082.4,-12048.099999999999
2023-10-16,-12037.8,-11736.4,-12037.8,-11862.5
2023-10-17,-11858.3,-11704.8,-12179.599999999999,-12096
2023-10-18,-12107.599999999999,-12079.5,-12310.599999999999,-12234
2023-10-19,-12194.5,-12194.5,-12769.4,-12769.4
2023-10-20,-12795.3,-12636.2,-12986,-12986
2023-10-23,-12850.6,-12632.900000000001,-12927.1,-12883.300000000001
2023-10-24,-12867.300000000001,-12805.6,-13133.300000000001,-13133.300000000001
2023-10-25,-13141.7,-12371.3,-13141.7,-12410.5
2023-10-26,-12408.4,-12290.8,-12515.4,-12319.599999999999
2023-10-27,-12336.199999999999,-12181.599999999999,-12450.199999999999,-12181.599999999999
2023-10-30,-12172.4,-12040,-12230.099999999999,-12081.4
2023-10-31,-12044,-12044,-12863.3,-12832.4
2023-11-01,-12852.099999999999,-12065.099999999999,-12857.900000000001,-12219.099999999999
2023-11-02,-12201.8,-12181.9,-12773.099999999999,-12645.5
2023-11-03,-12644.599999999999,-12644.599999999999,-13190.199999999999,-13190.199999999999
2023-11-06,-13187.8,-12928.399999999998,-13419.3,-13388.899999999998
2023-11-07,-13400.999999999998,-12989.699999999999,-13400.999999999998,-13188.999999999998
2023-11-08,-13191.3,-13191.3,-13601.300000000001,-13559.1
