time,open,high,low,close
2024-12-03,1.04985,1.05351,1.04806,1.05097
2024-12-04,1.05076,1.05442,1.04723,1.05102
2024-12-05,1.05106,1.05897,1.0508,1.05877
2024-12-06,1.05884,1.063,1.05424,1.05673
2024-12-09,1.05593,1.05944,1.05322,1.05538
2024-12-10,1.05551,1.05683,1.04985,1.05276
2024-12-11,1.05276,1.05394,1.04802,1.0496
2024-12-12,1.0496,1.0531,1.04638,1.04666
2024-12-13,1.04702,1.05243,1.04532,1.05025
2024-12-16,1.04894,1.05248,1.04746,1.05108
2024-12-17,1.0511,1.05344,1.04792,1.04916
2024-12-18,1.04926,1.05129,1.03439,1.03497
2024-12-19,1.03537,1.04224,1.03475,1.03634
2024-12-20,1.03648,1.04476,1.0343,1.04294
2024-12-23,1.04316,1.04462,1.03843,1.04064
2024-12-24,1.04096,1.04106,1.03836,1.03966
2024-12-26,1.04042,1.043,1.03906,1.04228
2024-12-27,1.04215,1.04441,1.04052,1.04266
2024-12-30,1.04316,1.04584,1.03718,1.04068
2024-12-31,1.04032,1.04245,1.03439,1.03533
2025-01-02,1.0355,1.03759,1.02241,1.0267
2025-01-03,1.026,1.031,1.026,1.0309
2025-01-06,1.03057,1.0437,1.02956,1.03901
2025-01-07,1.0385,1.04345,1.03396,1.03404
2025-01-08,1.03425,1.03577,1.02732,1.03188
2025-01-09,1.03166,1.03216,1.02836,1.02998
2025-01-10,1.03008,1.0312,1.02128,1.02442
2025-01-13,1.02404,1.02501,1.01779,1.02434
2025-01-14,1.02448,1.03086,1.02385,1.03082
2025-01-15,1.03048,1.03548,1.02583,1.02904
2025-01-16,1.02875,1.03152,1.02608,1.0302
2025-01-17,1.02978,1.03308,1.02653,1.02718
2025-01-20,1.02825,1.04345,1.02664,1.0417
2025-01-21,1.04131,1.04356,1.03417,1.0429
2025-01-22,1.04274,1.04574,1.03922,1.04102
2025-01-23,1.04125,1.0438,1.03721,1.04156
2025-01-24,1.04169,1.05215,1.04116,1.04953
2025-01-27,1.04808,1.05333,1.04539,1.04921
2025-01-28,1.04929,1.0494,1.04138,1.04307
2025-01-29,1.04288,1.04438,1.03824,1.042
2025-01-30,1.04197,1.04678,1.03862,1.03923
2025-01-31,1.03954,1.0434,1.035,1.0361
2025-02-03,1.02454,1.03502,1.02105,1.03428
2025-02-04,1.0338,1.03877,1.02719,1.03788
2025-02-05,1.03758,1.04432,1.03696,1.04028
2025-02-06,1.04049,1.0406,1.03526,1.0383
2025-02-07,1.03858,1.04134,1.03052,1.0327
2025-02-10,1.02925,1.03366,1.02838,1.0307
2025-02-11,1.03092,1.03816,1.02922,1.03612
2025-02-12,1.03621,1.04299,1.0317,1.03824
2025-02-13,1.03848,1.04674,1.03732,1.04648
2025-02-14,1.04639,1.05144,1.04471,1.0492
2025-02-17,1.04862,1.05065,1.04672,1.04833
2025-02-18,1.04798,1.04864,1.04352,1.0446
2025-02-19,1.04465,1.04615,1.04009,1.04225
2025-02-20,1.04248,1.05036,1.04187,1.05014
2025-02-21,1.04976,1.05059,1.04494,1.04608
2025-02-24,1.0469,1.05284,1.04528,1.04682
2025-02-25,1.0469,1.05194,1.04563,1.05149
2025-02-26,1.05157,1.0529,1.0475,1.0485
