time,open,high,low,close,Volume,Volume
675388800,766.75,768.25,762,765.5,0,0
675475200,765.75,766.25,763.25,763.75,0,0
675561600,762.75,763.5,761.5,762.25,0,0
675648000,763.25,765.5,762.75,764.5,0,0
675907200,766,769,766,768.5,0,0
675993600,767.75,768.25,765.25,765.5,0,0
676080000,764.75,765.5,764,764.5,0,0
676166400,764.25,767,763,763.75,0,0
676252800,763.75,765,761.75,764.5,0,0
676512000,764,764.5,756.75,757.5,0,0
676598400,757,758,754.25,755.5,0,0
676684800,761.75,763.75,757.25,757.5,0,0
676771200,756.5,759.75,756.5,759.5,0,0
676857600,759.5,760.75,759.25,760.5,0,0
677116800,759.75,760,756,757,0,0
677203200,757.75,758,756,756.5,0,0
677289600,757.75,760.25,757.25,760,0,0
677376000,761.25,761.25,757.25,757.75,0,0
677462400,757,757.75,753,753.5,0,0
677721600,753.75,756.25,753.75,756,0,0
677808000,756.75,757.25,754.75,756.25,0,0
677894400,756.25,758.5,755.5,756,0,0
677980800,754.25,755,750,750.5,0,0
678067200,746.5,746.75,741.75,743.75,0,0
678326400,746.75,750.25,745.25,750,0,0
678412800,753.25,756,747.25,751.5,0,0
678499200,751.5,753.75,750,753.25,0,0
678672000,752.25,753,748.75,749.75,0,0
678931200,749,750.5,743.5,744,0,0
679017600,744.5,747,743.5,745,0,0
679104000,744,748.75,743,747.5,0,0
679190400,746,747.75,745.5,745.75,0,0
679276800,746.5,749.75,746.5,748.75,0,0
679536000,751.5,753.5,750.5,752.5,0,0
679622400,756.5,762.5,756,762.5,0,0
679708800,764,769,762.25,763.25,0,0
679795200,760.5,760.5,754.75,756.5,0,0
679881600,754.5,756.5,752.75,753.5,0,0
680140800,756.5,763,756.5,761.25,0,0
680227200,771.25,771.25,769.25,771.25,0,0
680313600,770.5,771,766,769.25,0,0
680400000,770.5,774.75,769.5,770.25,0,0
680486400,769.5,774.25,769,774,0,0
680745600,784,784,779.5,781.25,0,0
680832000,780,781,777.5,778,0,0
680918400,776.25,784.25,775.25,782.5,0,0
681004800,784.75,790.5,784.75,787,0,0
681091200,787.5,789.25,785,786.75,0,0
681350400,782.5,782.5,776.75,776.75,0,0
681436800,772,777.5,768.5,777,0,0
681523200,779,779,772,773,0,0
681609600,769.5,775.75,769.5,774.5,0,0
681696000,776.75,777.5,775,775.25,0,0
681955200,776,777.5,775,777.5,0,0
