time,open,high,low,close
665283600,251,252.75,250.75,252.5
665370000,253.5,253.75,250.25,252
665629200,251.25,252.75,250.5,252.5
665715600,253,253.25,250.75,251
665802000,251,251.25,249.5,249.75
665888400,248.75,249.25,247,247.75
665974800,247.75,249,247.25,249
666234000,249.25,251.75,248.5,250
666320400,246.5,247.75,245.5,246.75
666406800,247.5,248.25,246.5,247.75
666493200,248,248.75,247,247.5
666579600,247.5,248.5,247,248.25
666925200,248.75,249.25,248.25,248.5
667011600,248.75,249,247.25,247.5
667098000,247.25,248,246.75,247.5
667184400,247.25,247.25,246.5,247
667443600,247.5,248.5,247,248.5
667530000,249.25,250.75,249.25,249.75
667616400,249.5,249.75,249,249.25
667702800,249,251.5,248.75,251
667789200,251.25,255.5,251.25,254.75
668048400,255.25,258,254.25,256
668134800,263,264.25,262.25,263.75
668221200,265,265.25,263,263.25
668307600,262.25,263.5,262,263
668394000,263,265.25,263,265
668653200,266,266,261.25,261.5
668739600,261.75,267.25,260,266.25
668826000,266,267,265,266.5
668912400,265.25,266,264.25,264.5
668998800,262.5,263.75,256,256.5
669258000,254.5,257.25,253.5,256
669344400,256.75,258.5,256.25,258.25
669430800,258.5,259.75,257.25,258.5
669517200,258,261,257.25,259
669603600,259.5,260.5,258.75,260.5
669862800,260,260.5,258.5,259.25
669949200,258.5,259,256.5,256.75
670035600,256.25,258,255.75,257.5
670122000,258.25,259.75,258.25,259.5
670467600,263,265.5,262,264.75
670554000,264.25,265,263.25,263.75
670640400,263.75,267,263.5,265
670726800,264.5,264.75,263.25,264.25
670813200,263.75,266,263.5,265.25
671068800,265.75,268.5,265.5,266.25
671155200,265.75,265.75,261.5,261.75
671241600,262,264.75,261.25,264.25
671328000,263.5,265.5,261.5,265
671414400,266,266.5,264.75,266.25
671673600,267.25,268.5,263.5,263.75
671760000,263.75,264.75,263,263.75
671846400,264,265.5,259.5,260.5
671932800,261,261.25,259.75,260.5
672019200,262.25,264,260.5,263.75
672278400,263.75,265,261,261.5
672364800,261.25,263.5,260.5,263.25
672451200,264.25,264.75,261.5,262.25
672537600,262,263,260.75,262.25
672624000,262,262.25,260,260.25
672883200,259.25,259.25,255,255.5
672969600,256.25,256.5,253.75,254
673056000,254.25,255,252.25,252.5
673142400,252.25,254,251.25,253.5
673228800,253.25,255.25,253,254.25
673488000,255.25,256.25,254.25,255.5
673574400,254.25,254.25,251.5,252
673660800,250,250,247,247
673747200,247.25,248.75,247,248
673833600,247.5,247.5,244,244.5
674092800,243.25,244.75,243,244.5
674179200,245,247,243.75,247
674265600,247.5,248,245.25,245.5
674352000,245.75,247,245.25,246
674438400,246.5,247,245,245.75
674697600,246.25,247,245.5,247
674784000,246.5,248.75,246.25,248.75
674870400,249.25,251,248,248.5
674956800,247.75,250.25,247.25,250.25
675043200,249.75,251.25,248.5,249.25
675388800,248.25,248.5,242.25,245.75
675475200,246.25,246.25,242.75,243.25
675561600,242.25,243.5,241,242.25
675648000,243.25,245.75,242.75,245
675907200,246,249,246,248.25
675993600,248,248.5,245.5,245.75
676080000,245,246.75,244.75,245.5
676166400,245,249.5,244.5,246.75
676252800,247,248,244.75,247.75
676512000,246.75,247.25,240.75,241
676598400,240.5,241.75,238.75,240
676684800,247,247,240,240.25
676771200,240,241.25,239.5,241
676857600,241.25,242.25,240.5,241.25
677116800,240.5,241.75,236.25,237
677203200,236.75,238.25,236.75,237
677289600,238.75,241,238.25,241
677376000,242.5,242.5,237.75,238
677462400,238,238.25,233.25,234.25
677721600,235.75,237.75,235.5,237
677808000,238,238.5,235.75,236.75
677894400,237.25,239.75,236.75,237.25
677980800,235.25,235.75,232,232.75
678067200,228.25,228.25,222.75,224
678326400,227,229.25,225.25,229.25
678412800,231.75,234.25,225,229
678499200,228.5,229.5,226.5,229.25
