time,open,high,low,close,Volume
666925200,-376.79999999999995,-374.79999999999995,-377.9,-377.69999999999993,0
667011600,-377.69999999999993,-377.19999999999993,-378.69999999999993,-377.79999999999995,0
667098000,-378.29999999999995,-377.79999999999995,-379.59999999999997,-379.09999999999997,0
667184400,-379.29999999999995,-378.9,-379.99999999999994,-379.59999999999997,0
667443600,-377.99999999999994,-377.59999999999997,-379.4,-377.69999999999993,0
667530000,-377.59999999999997,-375.4,-377.59999999999997,-376.69999999999993,0
667616400,-376.99999999999994,-376.99999999999994,-379.29999999999995,-379.19999999999993,0
667702800,-379.09999999999997,-378.29999999999995,-379.9,-379.29999999999995,0
667789200,-379.09999999999997,-374.9,-379.49999999999994,-376.9,0
668048400,-375.99999999999994,-375.29999999999995,-379.19999999999993,-379.09999999999997,0
668134800,-378.99999999999994,-376.29999999999995,-379.49999999999994,-376.49999999999994,0
668221200,-374.79999999999995,-373.79999999999995,-376.99999999999994,-376.9,0
668307600,-377.09999999999997,-376.9,-378.99999999999994,-378.29999999999995,0
668394000,-377.59999999999997,-375.4,-377.59999999999997,-375.59999999999997,0
668653200,-376.99999999999994,-375.79999999999995,-379.9,-379.59999999999997,0
668739600,-379.99999999999994,-378.19999999999993,-381.29999999999995,-378.9,0
668826000,-378.69999999999993,-376.99999999999994,-379.19999999999993,-377.9,0
668912400,-378.59999999999997,-378.59999999999997,-381.99999999999994,-381.99999999999994,0
668998800,-382.29999999999995,-381.79999999999995,-384.79999999999995,-384.69999999999993,0
669258000,-384.99999999999994,-383.79999999999995,-385.69999999999993,-384.9,0
669344400,-384.69999999999993,-383.99999999999994,-385.19999999999993,-384.69999999999993,0
669430800,-384.59999999999997,-384.29999999999995,-385.59999999999997,-385.49999999999994,0
669517200,-385.79999999999995,-383.09999999999997,-385.79999999999995,-384.09999999999997,0
669603600,-383.79999999999995,-383.29999999999995,-384.29999999999995,-384.09999999999997,0
669862800,-384.19999999999993,-384.09999999999997,-385.9,-385.4,0
669949200,-385.79999999999995,-383.59999999999997,-385.79999999999995,-384.59999999999997,0
670035600,-384.79999999999995,-383.4,-385.69999999999993,-383.49999999999994,0
670122000,-383.49999999999994,-382.4,-383.79999999999995,-382.49999999999994,0
670467600,-380.79999999999995,-375.99999999999994,-380.79999999999995,-376.19999999999993,0
670554000,-375.79999999999995,-374.79999999999995,-376.99999999999994,-375.79999999999995,0
670640400,-376.19999999999993,-375.4,-378.29999999999995,-378.19999999999993,0
670726800,-378.79999999999995,-377.49999999999994,-379.99999999999994,-379.19999999999993,0
670813200,-379.49999999999994,-378.99999999999994,-380.29999999999995,-379.19999999999993,0
671068800,-378.59999999999997,-378.19999999999993,-379.09999999999997,-378.9,0
671155200,-379.79999999999995,-379.79999999999995,-381.79999999999995,-380.99999999999994,0
671241600,-381.29999999999995,-380.09999999999997,-381.29999999999995,-380.29999999999995,0
671328000,-380.59999999999997,-378.49999999999994,-381.69999999999993,-379.59999999999997,0
671414400,-378.79999999999995,-377.79999999999995,-379.99999999999994,-379.09999999999997,0
671673600,-378.29999999999995,-377.69999999999993,-378.99999999999994,-378.9,0
671760000,-379.29999999999995,-377.19999999999993,-379.29999999999995,-377.29999999999995,0
671846400,-376.5,-375.8,-379.7,-379.6,0
671932800,-379.3,-379.3,-380.5,-380.1,0
672019200,-379.5,-376.7,-379.8,-377.2,0
672278400,-377,-375.8,-378.8,-378.8,0
672364800,-379.2,-376.5,-379.3,-376.7,0
672451200,-375,-373.3,-377,-374,0
672537600,-374.2,-374,-375.3,-374.9,0
672624000,-375.5,-374.2,-375.7,-375.5,0
672883200,-376.2,-376,-380,-380,0
672969600,-379.5,-377.5,-379.8,-378.4,0
673056000,-378.2,-376.7,-378.2,-377.3,0
673142400,-377.8,-377.2,-378.5,-378.4,0
673228800,-378.7,-376.5,-379,-378,0
673488000,-377.8,-377.8,-380.4,-380.2,0
673574400,-379.8,-379.8,-382,-381.8,0
673660800,-382.6,-381.3,-383,-382.7,0
673747200,-382,-380.6,-382,-381.7,0
673833600,-381.5,-381.5,-383.8,-382.9,0
674092800,-383.3,-383,-384.1,-383.5,0
674179200,-383.5,-383.5,-384.9,-384.3,0
674265600,-384,-382.6,-384,-384,0
674352000,-383,-382.8,-383.9,-383.3,0
674438400,-383,-382.1,-383.8,-383.8,0
674697600,-383.5,-383.1,-384.5,-383.6,0
674784000,-383.2,-381.9,-384.5,-382.1,0
674870400,-381.7,-379.8,-382,-381.6,0
674956800,-381.8,-380.7,-382,-380.8,0
675043200,-380.5,-380.3,-383,-383,0
675388800,-383,-382.5,-384.4,-382.7,0
675475200,-382.5,-381.8,-384,-384,0
675561600,-384,-382.7,-384.5,-383.2,0
675648000,-382.3,-380.9,-382.6,-381.8,0
675907200,-381,-380.4,-382.2,-382.1,0
675993600,-383,-382.5,-383.7,-382.9,0
676080000,-383.3,-381.6,-383.5,-382,0
676166400,-382.5,-380.7,-382.9,-380.9,0
676252800,-380.5,-380.1,-382.3,-380.4,0
676512000,-380.5,-380.5,-384.5,-383.6,0
676598400,-383.5,-383.1,-384.4,-383.3,0
676684800,-381.5,-381,-382.7,-382.5,0
676771200,-383,-382.3,-383.2,-383.1,0
676857600,-383.2,-382.6,-384,-383.8,0
677116800,-383.5,-383.5,-387.3,-386.9,0
677203200,-387,-386,-387,-386.5,0
677289600,-386.2,-383.7,-386.2,-383.7,0
677376000,-383.2,-383,-386,-386,0
677462400,-386,-386,-389.1,-388.9,0
677721600,-387.7,-386.3,-387.7,-386.9,0
677808000,-386,-386,-387.7,-387.3,0
677894400,-387,-385.6,-388,-388,0
677980800,-389.5,-389.5,-391.2,-391.2,0
678067200,-397.5,-395.8,-398,-396.7,0
678326400,-394.5,-394.4,-395.8,-394.7,0
678412800,-393.5,-393,-397.7,-396.9,0
678499200,-396,-394.5,-396.7,-395,0
678672000,-397,-396.5,-397.7,-397.7,0
678931200,-397.5,-397.5,-400,-399.9,0
679017600,-399,-398,-399.7,-399.7,0
679104000,-400,-398,-400.7,-398,0
679190400,-398.5,-398.5,-400,-400,0
679276800,-398.5,-396.4,-398.5,-397.1,0
679536000,-395.5,-395,-396.1,-395.8,0
679622400,-393.5,-391.5,-393.7,-392.4,0
679708800,-392.5,-392.2,-395.2,-395.2,0
679795200,-395.8,-395.8,-399,-399,0
679881600,-399,-398.3,-399.7,-398.7,0
680140800,-396.5,-394.5,-396.5,-394.8,0
680227200,-389,-384.8,-389.5,-386.4,0
680313600,-388,-387,-391.5,-388.8,0
680400000,-388.5,-387.5,-390.5,-389.5,0
680486400,-390.5,-387,-391.2,-387.1,0
680745600,-381,-374.5,-381.5,-380.3,0
680832000,-382,-380.5,-383,-382.4,0
