time,open,high,low,close,Volume
809308800,1835,1839.25,1833,1835.5,0
809568000,1838,1844,1836,1836.75,0
809654400,1838,1838,1830,1831,0
809740800,1828,1834.5,1827,1831,0
809827200,1834,1844,1832.5,1843,0
809913600,1844,1845,1839.5,1842.25,0
810259200,1842,1849.5,1842,1845.75,0
810345600,1846,1851,1845,1848.75,0
810432000,1852,1863,1851.25,1861.5,0
810518400,1859.5,1863,1854,1854.5,0
810777600,1852,1856,1848.5,1856,0
810864000,1858,1869,1855.5,1863.75,0
810950400,1861,1864,1856,1859.25,0
811036800,1856.5,1865.5,1856.5,1861.25,0
811123200,1865,1868.5,1861,1861.5,0
811382400,1869,1874,1866,1869.25,0
811468800,1867,1876.5,1865,1874,0
811555200,1876,1879,1871.5,1875,0
811641600,1875.5,1882,1874,1876.75,0
811728000,1873.5,1874.25,1867,1869.25,0
811987200,1870.5,1872,1862,1866.5,0
812073600,1866.5,1868.75,1864,1866.5,0
812160000,1865,1872,1861.5,1870,0
812246400,1873,1874.5,1870.5,1873.75,0
812332800,1879,1883,1876.5,1882.25,0
812592000,1881.5,1885,1876,1881.75,0
812678400,1878,1880,1876.25,1877,0
812764800,1876.5,1877,1872.5,1876.5,0
812851200,1875.75,1877,1866.5,1870,0
812937600,1873,1873,1866,1866.75,0
813196800,1866,1872.5,1864.5,1871.75,0
813283200,1873.5,1876.5,1872,1874.5,0
813369600,1879.5,1880.5,1871.5,1872,0
813456000,1871.5,1874,1868.5,1871.5,0
813542400,1871.5,1879,1870.25,1876.5,0
813801600,1879,1887.5,1879,1886.75,0
813888000,1885.5,1888.5,1881,1881.5,0
813974400,1881,1889,1880.5,1888.5,0
814060800,1890,1897,1889,1895.75,0
814147200,1895.5,1899,1892.5,1897,0
814406400,1899,1899,1892.5,1893.25,0
814492800,1891.75,1891.75,1885,1886,0
814579200,1884,1891,1882.5,1890.25,0
814665600,1892,1893.5,1889,1892.25,0
814752000,1890,1891.25,1887.25,1890.5,0
815014800,1888.5,1890,1884.5,1887.75,0
815101200,1886,1889,1884.5,1887.5,0
815187600,1886,1888,1882,1887.25,0
815274000,1888.5,1891,1870,1872,0
815360400,1874,1876,1870,1872.5,0
815619600,1874,1881,1874,1880.75,0
815706000,1882,1883,1879,1881.5,0
815792400,1879,1881.75,1879,1881,0
815878800,1885,1885,1873.5,1874.5,0
815965200,1871,1883.5,1871,1881.75,0
816224400,1883,1883,1875,1876.5,0
816310800,1875.5,1877.5,1872,1877,0
816397200,1876,1878,1868,1868.75,0
816483600,1870,1873,1865,1872.25,0
816570000,1873.25,1875.25,1870.75,1872.25,0
816829200,1872.25,1873.25,1869.75,1870,0
816915600,1870.25,1871.25,1865.25,1867.75,0
817002000,1865.75,1871.25,1865.75,1870.5,0
