time,open,high,low,close,Volume,Volume
1077231600,4390.75,4695,4390.75,4390.75,0,0
1077490800,4390.75,4390.75,4390.75,4390.75,57,57
1077577200,4570,4570,4570,4570,36,36
1077663600,4585,4640,4585,4640,737,737
1077750000,4725,4770,4690,4770,348,348
1077836400,4935,5015,4920,4955,807,807
1078095600,5235,5285,5195,5285,835,835
1078182000,5275,5335,5255,5295,356,356
1078268400,5225,5305,5185,5245,546,546
1078354800,5340,5395,5335,5395,142,142
1078441200,5425,5595,5360,5545,1000,1000
1078700400,5430,5500,5350,5350,822,822
1078786800,5425,5435,5375,5400,1312,1312
1078873200,5335,5380,5220,5220,1580,1580
1078959600,5095,5190,5000,5000,2765,2765
1079046000,5110,5230,5080,5220,1077,1077
1079305200,5170,5210,5110,5140,881,881
1079391600,5120,5170,5090,5150,1004,1004
1079478000,5345,5510,5335,5495,2215,2215
1079564400,5310,5390,5265,5380,1325,1325
1079650800,5330,5340,5260,5260,517,517
1079910000,5140,5170,5015,5045,1871,1871
1079996400,5150,5240,5080,5225,1066,1066
1080082800,5195,5325,5180,5320,989,989
1080169200,5480,5720,5480,5660,592,592
1080255600,5680,5835,5630,5760,592,592
1080514800,5705,5870,5700,5870,1123,1123
1080601200,5705,5715,5565,5700,1068,1068
1080687600,5705,5740,5660,5690,558,558
1080774000,5670,5760,5650,5725,632,632
1080860400,5805,5990,5790,5980,1827,1827
1081116000,5910,6025,5900,6015,1847,1847
1081202400,6020,6040,5960,6030,197,197
1081288800,6000,6000,5845,5940,751,751
1081375200,6020,6065,5935,5975,1144,1144
1081720800,6060,6135,6025,6090,877,877
1081807200,6130,6180,5955,5990,1257,1257
1081893600,6000,6040,5915,6015,1389,1389
1081980000,5780,5860,5670,5700,1634,1634
1082066400,5680,5880,5680,5880,1133,1133
1082325600,5675,5740,5665,5715,577,577
1082412000,5940,5975,5800,5830,1441,1441
1082498400,5830,5985,5830,5980,951,951
1082584800,5910,6125,5890,6110,1651,1651
1082671200,6130,6130,6040,6075,354,354
1082930400,6130,6145,6075,6075,561,561
1083016800,6030,6070,5990,6000,1253,1253
1083103200,5915,5920,5670,5675,1302,1302
1083189600,5725,5770,5580,5580,2063,2063
1083276000,5660,5665,5490,5495,991,991
1083535200,5560,5565,5465,5465,453,453
1083621600,5590,5660,5590,5610,689,689
1083708000,5600,5700,5565,5700,659,659
1083794400,5490,5490,5365,5450,1813,1813
1083880800,5415,5470,5315,5315,1140,1140
1084140000,4825,4850,4710,4765,4155,4155
1084226400,4870,4930,4860,4910,1598,1598
1084312800,4970,5010,4800,5010,3315,3315
1084399200,4815,4870,4755,4765,1265,1265
1084485600,4710,4790,4695,4720,1378,1378
1084744800,4385,4465,4350,4445,1196,1196
1084831200,4610,4675,4600,4650,926,926
1084917600,4895,4970,4810,4815,1691,1691
