time,open,high,low,close
2022-06-03T02:00:00Z,117.43,117.63,117.41,117.51
2022-06-03T03:00:00Z,117.48,117.6,117.33,117.5
2022-06-03T04:00:00Z,117.48,117.55,117.08,117.16
2022-06-03T05:00:00Z,117.14,117.38,117.11,117.34
2022-06-03T06:00:00Z,117.32,117.87,117.09,117.57
2022-06-03T07:00:00Z,117.57,117.58,116.31,116.41
2022-06-03T08:00:00Z,116.43,117.3,116.02,116.81
2022-06-03T09:00:00Z,116.82,117.11,116.57,117.03
2022-06-03T10:00:00Z,117.04,117.14,116.61,116.94
2022-06-03T11:00:00Z,116.9,117.55,116.7,117.16
2022-06-03T12:00:00Z,117.14,118.42,117.06,118.38
2022-06-03T13:00:00Z,118.38,118.5,117.43,118.42
2022-06-03T14:00:00Z,118.42,119.6,118.25,119.47
2022-06-03T15:00:00Z,119.48,120.13,119.28,119.33
2022-06-03T16:00:00Z,119.32,120.06,119.3,119.66
2022-06-03T17:00:00Z,119.68,120.05,119.42,119.47
2022-06-03T18:00:00Z,119.49,120.53,119.13,120.36
2022-06-03T19:00:00Z,120.37,121.43,120.25,121.26
2022-06-03T20:00:00Z,121.27,121.45,120.6,121.28
2022-06-03T21:00:00Z,121.28,121.29,120.85,121.08
2022-06-05T22:00:00Z,121.55,121.95,121.2,121.37
2022-06-05T23:00:00Z,121.37,121.55,121.24,121.25
2022-06-06T00:00:00Z,121.25,121.49,120.74,120.78
2022-06-06T01:00:00Z,120.8,120.82,119.63,120.37
2022-06-06T02:00:00Z,120.36,120.79,120.36,120.72
2022-06-06T03:00:00Z,120.73,121.12,120.52,120.66
2022-06-06T04:00:00Z,120.62,120.67,120.43,120.49
2022-06-06T05:00:00Z,120.48,120.65,120.34,120.53
2022-06-06T06:00:00Z,120.52,120.68,120.22,120.3
2022-06-06T07:00:00Z,120.32,120.72,119.94,120.36
2022-06-06T08:00:00Z,120.37,120.77,119.97,120.03
2022-06-06T09:00:00Z,120.05,120.77,119.87,120.69
2022-06-06T10:00:00Z,120.68,120.75,120.17,120.3
