time,open,high,low,close
1985-08-26,106.45,106.45,106.45,106.45
1985-08-27,109.65,109.65,109.65,109.65
1985-08-28,112.65,112.65,112.65,112.65
1985-08-29,109.95,109.95,109.95,109.95
1985-08-30,109.15,109.15,109.15,109.15
1985-09-02,98.6,98.6,98.6,98.6
1985-09-03,106.2,106.2,106.2,106.2
1985-09-04,107.1,107.1,107.1,107.1
1985-09-05,101.1,101.1,101.1,101.1
1985-09-06,98.15,98.15,98.15,98.15
1985-09-09,99.4,99.4,99.4,99.4
1985-09-10,101.55,101.55,101.55,101.55
1985-09-11,100.45,100.45,100.45,100.45
1985-09-12,100.5,100.5,100.5,100.5
1985-09-13,102.15,102.15,102.15,102.15
1985-09-16,99.2,99.2,99.2,99.2
1985-09-17,99.2,99.2,99.2,99.2
1985-09-18,97.35,97.35,97.35,97.35
1985-09-19,100.5,100.5,100.5,100.5
1985-09-20,101.2,101.2,101.2,101.2
1985-09-23,106.1,106.1,106.1,106.1
1985-09-24,103.95,103.95,103.95,103.95
1985-09-25,103.85,103.85,103.85,103.85
1985-09-26,102.55,102.55,102.55,102.55
1985-09-27,102.85,102.85,102.85,102.85
1985-09-30,101.2,101.2,101.2,101.2
1985-10-01,103.2,103.2,103.2,103.2
1985-10-02,103.3,103.3,103.3,103.3
1985-10-03,106.7,106.7,106.7,106.7
1985-10-04,106.05,106.05,106.05,106.05
1985-10-07,104.15,104.15,104.15,104.15
1985-10-08,104.8,104.8,104.8,104.8
1985-10-09,105.1,105.1,105.1,105.1
1985-10-10,103.1,103.1,103.1,103.1
1985-10-11,103.4,103.4,103.4,103.4
1985-10-14,104,104,104,104
1985-10-15,105.1,105.1,105.1,105.1
1985-10-16,103.35,103.35,103.35,103.35
1985-10-17,105.45,105.45,105.45,105.45
1985-10-18,106.4,106.4,106.4,106.4
1985-10-21,106.25,106.25,106.25,106.25
1985-10-22,106.2,106.2,106.2,106.2
1985-10-23,107.1,107.1,107.1,107.1
1985-10-24,106.5,106.5,106.5,106.5
1985-10-25,108.05,108.05,108.05,108.05
1985-10-28,107.55,107.55,107.55,107.55
1985-10-29,108.45,108.45,108.45,108.45
1985-10-30,105.95,105.95,105.95,105.95
1985-10-31,103.25,103.25,103.25,103.25
1985-11-01,103.45,103.45,103.45,103.45
1985-11-04,103.5,103.5,103.5,103.5
1985-11-05,103,103,103,103
1985-11-06,103.7,103.7,103.7,103.7
1985-11-07,98.75,98.75,98.75,98.75
1985-11-08,99.5,99.5,99.5,99.5
1985-11-11,101,101,101,101
1985-11-12,104.6,104.6,104.6,104.6
