time,open,high,low,close,Volume,Volume
731860200,456.35,456.76,453.48,453.7,257060000,257060000
731946600,453.72,453.72,447.04,449.83,255420000,255420000
732205800,449.83,451.43,449.4,451.43,195930000,195930000
732292200,451.43,452.36,451.01,451.37,218820000,218820000
732378600,451.36,451.36,447.99,448.31,241270000,241270000
732465000,448.31,452.39,448.31,451.88,241180000,241180000
732551400,451.9,453.32,449.91,450.18,339660000,339660000
732810600,450.17,450.17,446.08,448.88,233190000,233190000
732897000,448.88,449.8,448.3,448.76,232730000,232730000
732983400,448.76,450.9,446.1,448.07,274300000,274300000
733069800,448.09,451.75,447.93,450.88,251530000,251530000
733156200,450.91,452.09,447.69,447.77,226650000,226650000
733415400,447.76,452.81,447.75,450.77,199970000,199970000
733501800,450.77,452.06,449.63,451.97,231190000,231190000
733588200,451.97,454.88,451.67,451.67,279190000,279190000
733674600,451.67,452.63,449.6,450.3,234530000,234530000
733761000,450.28,450.28,440.71,441.38,323330000,323330000
734016600,441.42,442.43,440.53,442.29,296080000,296080000
734103000,442.29,443.38,439.48,441.16,293680000,293680000
734189400,441.16,442.73,440.5,442.73,300000000,300000000
734275800,442.73,443.77,440.02,441.84,284370000,284370000
734621400,441.84,448.37,441.84,448.37,259690000,259690000
734707800,448.37,450.4,447.66,449.23,286690000,286690000
734794200,449.22,450,448.02,448.66,257340000,257340000
734880600,448.66,449.11,446.39,448.4,259500000,259500000
734967000,448.41,449.39,447.67,448.94,305160000,305160000
735226200,448.94,449.14,445.85,447.46,244710000,244710000
735312600,447.46,447.46,441.81,445.1,317990000,317990000
735399000,445.09,445.77,443.08,443.63,287300000,287300000
735485400,443.63,445.73,439.46,439.46,310390000,310390000
735571800,439.49,439.49,436.82,437.03,259810000,259810000
735831000,437.03,438.35,432.3,433.54,283260000,283260000
735917400,433.54,438.02,433.14,438.01,284140000,284140000
736003800,438.03,438.8,436.68,438.02,267980000,267980000
736090200,438,438.96,435.59,438.89,249760000,249760000
736176600,438.89,442.29,438.89,440.19,247460000,247460000
736435800,440.19,442.59,438.25,442.48,224970000,224970000
736522200,442.46,445.19,442.45,444.05,268310000,268310000
736608600,443.98,446.09,443.76,444.52,274240000,274240000
736695000,444.6,444.81,442.9,443.26,255460000,255460000
736781400,443.26,443.7,441.69,442.31,223570000,223570000
737040600,442.34,445.42,442.05,442.8,235580000,235580000
737127000,442.76,444.57,441.52,444.36,218480000,218480000
737213400,444.32,445.16,442.87,444.8,255680000,255680000
737299800,444.75,444.75,439.23,439.23,293920000,293920000
737386200,439.22,439.82,438.1,439.56,252910000,252910000
737645400,439.56,440.38,437.83,440.37,227580000,227580000
737731800,440.37,441.26,437.95,440.32,264300000,264300000
737818200,440.32,447.86,436.86,447.54,342420000,342420000
737904600,447.57,450.59,447.36,450.59,289160000,289160000
737991000,450.59,450.59,444.89,445.84,279120000,279120000
738250200,445.83,448.44,445.26,447.99,197990000,197990000
738336600,447.97,449.04,447.7,448.85,222090000,222090000
738423000,448.82,453.51,448.82,453.44,274230000,274230000
738509400,453.47,454.55,451.14,452.42,300810000,300810000
738595800,452.41,452.41,447.67,450.21,207820000,207820000
738941400,450.19,455.63,450.19,453.83,229690000,229690000
739027800,453.83,454.53,452.68,453.85,295560000,295560000
739114200,453.84,453.85,451.12,452.49,285570000,285570000
739200600,452.43,452.43,448.92,450.06,226440000,226440000
739459800,450.07,450.75,447.32,447.69,236920000,236920000
739546200,447.65,447.65,444.31,444.71,240640000,240640000
739632600,444.71,447.39,444.66,445.78,249030000,249030000
739719000,445.78,446.22,444.09,445.38,232600000,232600000
739805400,445.38,448.19,445.38,447.26,256750000,256750000
740064600,447.25,448.64,447.23,447.71,210440000,210440000
740151000,447.73,448.28,446.18,446.27,234110000,234110000
740237400,446.31,447.43,443.61,447.43,267500000,267500000
740323800,447.43,448.98,446.91,448.54,239810000,239810000
740410200,448.54,448.59,443.68,443.68,300500000,300500000
740669400,443.68,446.22,443.68,446.22,223650000,223650000
740755800,446.25,446.29,444.94,445.93,259530000,259530000
740842200,445.96,445.96,443.19,443.19,278260000,278260000
740928600,443.04,447.21,442.5,446.62,267450000,267450000
741015000,446.62,448.64,446.62,447.6,210430000,210430000
741274200,447.6,451.9,447.6,451.85,242090000,242090000
741360600,451.85,451.9,449.67,450.68,276310000,276310000
741447000,450.69,451.47,450.15,450.53,281120000,281120000
741533400,450.54,451.15,448.71,449.02,292040000,292040000
741619800,449.02,449.02,445.2,445.84,220750000,220750000
741965400,445.84,446.87,441.42,441.42,234810000,234810000
742051800,441.4,443.63,441.4,442.83,253170000,253170000
742138200,442.84,448.64,442.84,448.64,282910000,282910000
742224600,448.64,448.94,446.74,448.11,235210000,235210000
742483800,448.13,449.11,447.71,448.98,202310000,202310000
742570200,449,450.7,448.07,448.09,236720000,236720000
742656600,448.08,451.12,448.08,450.08,297430000,297430000
742743000,450.09,450.12,447.26,449.22,277810000,277810000
742829400,449.07,449.08,445.66,445.75,263100000,263100000
743088600,445.75,446.78,444.83,446.02,216370000,216370000
743175000,446.03,447.63,443.71,447.31,277420000,277420000
743261400,447.28,447.5,445.84,447.18,278590000,278590000
743347800,447.14,447.23,443.72,444.51,249630000,249630000
743434200,444.54,447.1,444.54,447.1,222170000,222170000
743693400,447.06,449.5,447.04,449.09,222580000,222580000
743779800,449,449.44,446.76,448.24,256750000,256750000
743866200,448.25,448.61,446.59,447.19,273100000,273100000
743952600,447.19,450.77,447.19,450.24,261240000,261240000
744039000,450.19,450.22,446.98,448.13,254420000,254420000
744298200,448.14,450.15,448.03,450.15,230380000,230380000
744384600,450.12,450.43,447.59,449.27,253110000,253110000
744471000,449.27,449.72,447.93,448.54,230040000,230040000
744557400,448.55,449.61,446.94,448.13,261900000,261900000
744643800,448.13,449.26,447.87,448.68,221170000,221170000
744903000,448.68,451.51,448.31,450.71,232750000,232750000
744989400,450.71,450.71,449.1,449.46,255520000,255520000
745075800,449.6,451,449.6,450.46,268330000,268330000
745162200,450.47,451.63,447.53,448.96,278530000,278530000
745248600,448.97,450.25,448.97,450.14,214370000,214370000
745507800,450.25,453.41,450.25,452.38,233640000,233640000
745594200,452.38,453.7,451.96,453.13,261320000,261320000
745680600,453.21,456.99,453.21,456.04,312940000,312940000
745767000,456.01,456.76,455.2,456.43,293330000,293330000
745853400,456.43,456.68,454.6,456.16,276800000,276800000
746112600,456.12,456.12,454.29,455.23,212500000,212500000
746199000,455.23,459.77,455.04,459.77,270700000,270700000
746285400,459.75,462.04,459.3,460.13,301650000,301650000
746371800,460.04,462.87,458.82,461.04,254070000,254070000
746458200,461.05,461.05,459.19,460.54,196140000,196140000
746717400,460.54,462.58,460.28,461.9,194180000,194180000
746803800,461.9,463.56,461.29,463.56,252830000,252830000
746890200,463.55,463.8,461.77,463.15,245040000,245040000
746976600,463.13,463.54,461.07,461.3,259870000,259870000
747063000,461.3,462.05,459.91,461.33,197160000,197160000
747408600,461.34,462.07,457.95,458.52,229500000,229500000
747495000,458.53,458.53,453.75,456.65,283100000,283100000
747581400,456.69,458.11,455.17,457.5,258070000,258070000
747667800,457.49,461.86,457.49,461.72,269950000,269950000
747927000,461.7,463.38,461.41,462.06,244970000,244970000
748013400,461.93,461.93,458.15,459.88,258650000,258650000
748099800,459.9,461.96,456.31,461.6,294410000,294410000
748186200,461.54,461.54,459,459.43,229700000,229700000
748272600,459.43,459.43,457.09,458.83,381370000,381370000
748531800,458.84,459.91,455,455.04,231130000,231130000
748618200,455.05,455.8,449.64,452.95,300310000,300310000
748704600,452.94,456.92,452.94,456.2,298960000,298960000
748791000,456.25,458.69,456.25,457.74,275350000,275350000
748877400,457.74,458.56,456.92,457.63,248270000,248270000
749136600,457.63,461.81,457.63,461.8,244920000,244920000
749223000,461.84,462.08,460.91,461.53,243320000,243320000
749309400,461.6,462.17,459.51,460.11,277690000,277690000
749395800,460.11,460.56,458.28,458.93,280980000,280980000
749482200,458.93,461.48,458.35,461.28,256880000,256880000
749741400,461.18,461.8,460.02,461.34,229380000,229380000
749827800,461.34,463.15,459.45,461.2,294570000,294570000
749914200,461.24,462.6,460.26,460.74,277070000,277070000
750000600,460.74,461.13,459.08,459.18,255210000,255210000
750087000,459.19,460.99,456.4,460.31,243600000,243600000
750346200,460.31,461.87,460.31,460.88,183060000,183060000
750432600,460.95,462.47,460.73,461.12,263970000,263970000
750519000,461.12,461.98,460.76,461.49,290930000,290930000
750605400,461.55,466.83,461.55,466.83,352530000,352530000
750691800,466.9,471.1,466.9,469.5,366110000,366110000
750951000,469.5,470.04,468.02,468.45,329580000,329580000
751037400,468.41,468.64,464.8,466.21,304400000,304400000
751123800,466.21,466.87,464.54,466.07,305670000,305670000
751210200,466.06,466.64,464.38,465.36,289600000,289600000
751296600,465.36,467.82,463.27,463.27,301440000,301440000
751555800,463.27,464.49,462.05,464.2,260310000,260310000
751642200,464.2,464.32,462.65,464.3,284530000,284530000
751728600,464.3,464.61,463.36,464.61,279830000,279830000
751815000,464.52,468.76,464.52,467.73,301220000,301220000
751901400,467.73,468.2,467.37,467.83,270570000,270570000
752164200,467.83,469.11,467.33,469.1,256030000,256030000
752250600,469.1,469.1,466.2,468.44,304780000,304780000
752337000,468.44,468.61,460.95,463.02,342110000,342110000
752423400,463.03,463.16,457.26,457.49,323430000,323430000
752509800,457.47,459.63,454.36,459.57,336890000,336890000
752769000,459.57,461.54,458.78,460.21,234340000,234340000
752855400,460.21,463.42,460.21,460.33,276360000,276360000
752941800,460.55,463.72,459.57,463.72,283450000,283450000
753028200,463.72,464.96,462.49,462.64,283820000,283820000
753114600,462.64,465.84,462.64,465.39,326240000,326240000
753373800,465.39,466.13,463.05,463.75,251030000,251030000
753460200,463.75,466.74,462.97,466.74,303980000,303980000
753546600,466.74,467.24,462.73,464.81,316940000,316940000
753633000,464.83,464.88,461.73,463.62,313490000,313490000
753719400,463.59,463.6,460.03,462.6,302970000,302970000
753978600,462.6,462.6,457.08,459.13,280130000,280130000
754065000,459.13,461.77,458.47,461.03,260400000,260400000
754151400,461.03,462.9,461.03,462.36,230630000,230630000
754324200,462.39,463.63,462.39,463.06,90220000,90220000
754583400,463.06,464.83,461.83,461.9,272710000,272710000
754669800,461.9,463.62,460.45,461.79,286660000,286660000
754756200,461.93,464.47,461.63,461.89,293870000,293870000
754842600,461.89,463.22,461.45,463.11,256370000,256370000
754929000,463.13,464.89,462.67,464.89,268360000,268360000
755188200,464.89,466.89,464.4,466.43,292370000,292370000
755274600,466.43,466.77,465.44,466.76,285690000,285690000
755361000,466.73,466.73,465.42,466.29,314460000,314460000
755447400,466.29,466.54,463.87,464.18,287570000,287570000
755533800,464.18,464.86,462.66,463.93,245620000,245620000
755793000,463.93,465.71,462.71,465.7,256580000,256580000
755879400,465.73,466.12,462.46,463.06,275050000,275050000
755965800,463.07,463.69,461.84,461.84,331770000,331770000
756052200,461.86,463.98,461.86,463.34,284620000,284620000
756138600,463.34,466.38,463.34,466.38,363750000,363750000
756397800,466.38,466.89,465.53,465.85,255900000,255900000
756484200,465.84,465.92,464.03,465.3,273370000,273370000
756570600,465.08,467.38,465.08,467.32,272440000,272440000
756657000,467.3,468.97,467.3,467.38,227240000,227240000
757002600,467.4,470.55,467.35,470.54,171200000,171200000
757089000,470.61,471.05,469.43,470.94,200960000,200960000
757175400,470.91,471.29,469.87,470.58,269570000,269570000
757261800,470.58,470.58,468.09,468.64,195860000,195860000
757348200,468.66,470.75,466.45,466.45,168590000,168590000
757607400,466.45,466.94,464.36,465.44,270140000,270140000
757693800,465.44,466.89,464.44,466.89,326600000,326600000
757780200,466.89,467.82,465.92,467.55,400030000,400030000
757866600,467.55,469,467.02,467.12,365960000,365960000
757953000,467.09,470.26,467.09,469.9,324920000,324920000
758212200,469.9,475.27,469.55,475.27,319490000,319490000
758298600,475.27,475.28,473.27,474.13,305490000,305490000
758385000,474.13,475.06,472.14,474.17,310690000,310690000
758471400,474.17,474.17,471.8,472.47,277970000,277970000
758557800,472.5,475.32,472.5,474.91,304920000,304920000
758817000,474.91,474.91,472.84,473.3,233980000,233980000
758903400,473.3,475.19,473.29,474.25,308840000,308840000
758989800,474.25,474.7,472.21,474.3,311370000,311370000
759076200,474.3,475,473.42,474.98,310450000,310450000
759162600,475.07,475.56,473.72,474.72,346350000,346350000
759421800,474.72,475.2,471.49,471.97,296900000,296900000
759508200,471.97,472.56,470.27,470.92,326120000,326120000
759594600,470.92,473.44,470.72,473.2,304660000,304660000
759681000,473.2,477.52,473.2,477.05,346500000,346500000
759767400,477.05,479.75,477.05,478.7,313140000,313140000
760026600,478.7,482.85,478.7,481.61,322870000,322870000
760113000,481.6,481.64,479.18,479.62,322510000,322510000
760199400,479.62,482.23,479.57,482,328960000,328960000
760285800,481.96,481.96,478.71,480.71,318350000,318350000
760372200,480.68,481.02,469.28,469.81,378380000,378380000
760631400,469.81,472.09,467.57,471.76,348270000,348270000
760717800,471.74,472.33,469.5,471.06,318180000,318180000
760804200,471.09,473.41,471.09,472.77,332670000,332670000
760890600,472.81,473.13,468.91,468.94,327250000,327250000
760977000,468.91,471.13,466.89,470.18,213740000,213740000
761236200,470.18,471.99,469.05,470.23,263190000,263190000
761322600,470.23,473.41,470.23,472.52,306790000,306790000
761409000,472.53,474.16,471.94,472.79,295450000,295450000
761495400,472.81,475.13,468.26,470.34,340030000,340030000
761581800,470.29,471.09,466.09,467.69,293210000,293210000
761927400,467.69,471.65,467.58,471.46,270900000,270900000
762013800,471.48,472.41,469.47,470.69,309910000,309910000
762100200,470.65,470.65,464.26,464.26,342940000,342940000
762186600,464.33,466.48,464.33,466.07,273680000,273680000
762445800,466.07,469.16,466.07,467.14,268690000,268690000
762532200,467.19,467.43,462.02,464.44,304450000,304450000
762618600,464.4,464.87,457.49,464.81,361130000,361130000
762705000,464.81,464.83,462.5,463.01,291790000,291790000
762791400,463.03,466.16,462.41,464.74,311850000,311850000
763050600,464.74,468.07,464.74,466.91,285590000,285590000
763137000,466.92,467.79,465.02,465.88,298110000,298110000
763223400,465.94,467.42,463.4,467.06,309810000,309810000
763309800,467.08,467.29,462.46,463.9,369370000,369370000
763396200,463.86,466.61,462.56,466.44,303890000,303890000
763655400,466.44,467.6,466.08,467.39,260150000,260150000
763741800,467.36,468.99,466.04,467.01,303750000,303750000
763828200,467.04,469.85,465.48,469.42,307640000,307640000
763914600,469.42,471.05,468.62,470.9,303930000,303930000
764001000,470.89,471.09,467.83,471.06,462240000,462240000
764260200,471.06,471.06,467.23,468.54,247380000,247380000
764346600,468.4,470.47,467.88,468.8,282240000,282240000
764433000,468.89,470.38,468.52,468.53,281500000,281500000
764519400,468.57,468.57,462.41,464.35,303740000,303740000
764605800,464.35,465.29,460.58,460.58,249640000,249640000
764865000,460.58,461.12,456.1,460,287350000,287350000
764951400,460.03,460.32,452.43,452.48,305360000,305360000
765037800,452.4,452.49,445.55,445.55,390520000,390520000
765124200,445.55,447.16,436.16,445.76,403580000,403580000
765466200,445.66,445.66,435.86,438.92,344390000,344390000
765552600,439.14,448.29,439.14,448.29,365990000,365990000
765639000,448.29,449.63,444.98,448.05,302000000,302000000
765725400,448.11,451.1,446.38,450.88,289280000,289280000
765811800,450.89,450.89,445.51,447.1,264090000,264090000
766071000,447.12,450.34,447.1,449.87,243180000,243180000
766157400,449.83,450.8,447.33,447.57,257990000,257990000
766243800,447.63,448.57,442.62,446.26,278030000,278030000
766330200,446.01,447.55,443.57,446.38,275130000,275130000
766416600,446.38,447.85,445.81,446.18,309550000,309550000
766675800,446.27,447.87,441.48,442.46,271470000,271470000
766762200,442.54,444.82,438.83,442.54,323280000,323280000
766848600,442.54,445.01,439.4,441.96,366540000,366540000
766935000,441.96,449.14,441.96,448.73,378770000,378770000
767021400,448.73,449.96,447.16,447.63,295710000,295710000
767280600,447.64,452.71,447.58,452.71,262320000,262320000
767367000,452.71,452.79,450.66,451.87,288120000,288120000
767539800,451.84,452.23,447.97,449.1,325200000,325200000
767626200,449.07,451.35,447.91,450.91,293970000,293970000
767885400,450.91,453.57,449.05,453.02,296130000,296130000
767971800,453.06,453.98,450.51,453.03,288270000,288270000
768058200,453.04,453.11,449.87,451.72,267940000,267940000
768144600,451.76,452.82,450.72,451.38,255690000,255690000
768231000,451.37,451.37,445.64,447.82,291910000,291910000
768490200,447.82,447.82,441.84,442.32,250870000,250870000
768576600,442.37,446.84,442.37,446.01,297660000,297660000
768663000,446.03,446.03,440.78,441.49,277400000,277400000
768749400,441.5,444.8,441.5,443.75,272770000,272770000
768835800,443.62,444.72,441.21,444.14,252070000,252070000
769095000,444.15,445.82,443.62,444.49,234700000,234700000
769181400,444.49,449.37,443.7,449.37,311280000,311280000
769267800,449.39,454.45,448.87,453.69,337670000,337670000
769354200,453.69,456.88,453,456.48,303680000,303680000
769440600,456.48,456.48,454.22,454.92,295180000,295180000
769699800,454.92,454.92,451.79,453.2,249420000,249420000
769786200,453.21,456.77,453.21,454.81,280040000,280040000
769872600,454.84,456.34,452.2,456.34,254420000,254420000
769959000,456.33,457.77,455.79,457.06,255740000,255740000
770045400,457.03,457.33,454.67,457.33,186430000,186430000
770391000,457.32,457.61,455.16,456.51,216700000,216700000
770477400,456.5,458.29,453.99,457.63,279910000,279910000
770563800,457.62,458.5,457.26,457.65,271630000,271630000
770650200,457.65,460.86,456.27,460.13,271490000,271490000
770909400,460.13,461.87,458.85,458.88,259080000,259080000
770995800,458.88,459.46,457.65,458.21,234680000,234680000
771082200,458.24,459.74,455.43,457.06,256000000,256000000
771168600,457.06,457.87,455.86,457.86,252870000,252870000
771255000,457.86,459.48,457.36,458.67,222480000,222480000
771514200,458.67,459.36,457.18,459.1,243640000,243640000
771600600,459.1,462.52,459.1,462.37,288550000,288550000
771687000,462.38,463.23,459.95,460.61,269740000,269740000
771773400,460.61,461.93,459.8,461.93,256390000,256390000
771859800,461.93,462.16,458.44,458.45,373450000,373450000
772119000,458.45,458.45,454.46,455.41,229520000,229520000
772205400,455.48,455.48,449.45,451.34,298730000,298730000
772291800,451.4,453.91,451.4,453.09,251110000,251110000
772378200,453.09,454.16,449.43,449.63,256480000,256480000
772464600,449.63,449.63,442.51,442.8,261260000,261260000
772723800,442.78,447.76,439.83,447.31,250080000,250080000
772810200,447.36,448.47,443.08,446.07,267740000,267740000
772896600,446.05,449.83,446.04,447.63,264430000,264430000
772983000,447.63,448.61,443.66,444.27,293410000,293410000
773069400,444.29,446.45,443.58,446.2,199030000,199030000
773415000,446.2,447.62,445.14,446.37,195410000,195410000
773501400,446.09,447.28,444.18,446.13,236230000,236230000
773587800,446.15,448.64,446.15,448.38,259740000,259740000
773674200,448.38,449.75,446.53,449.55,236520000,236520000
773933400,449.56,450.24,445.27,448.06,222970000,222970000
774019800,448.02,448.16,444.65,447.95,252250000,252250000
774106200,448.03,450.06,447.97,448.73,265840000,265840000
774192600,448.73,454.33,448.73,453.41,322330000,322330000
774279000,453.41,454.33,452.8,454.16,275860000,275860000
774538200,454.41,455.71,453.26,455.22,227460000,227460000
774624600,455.22,455.3,453.86,453.86,251530000,251530000
774711000,453.89,454.16,450.69,451.6,267840000,267840000
774797400,451.6,453.22,451,452.61,292120000,292120000
774883800,452.61,454.03,452.33,453.11,261600000,261600000
775143000,453.06,454.32,452.76,454.25,213470000,213470000
775229400,454.25,454.25,452.78,453.36,232670000,232670000
775315800,453.36,453.38,451.36,452.57,251680000,251680000
775402200,452.57,454.93,452.3,454.24,245990000,245990000
775488600,454.25,459.33,454.25,458.25,269560000,269560000
775747800,458.27,461.01,458.08,461.01,258180000,258180000
775834200,461.01,462.77,459.7,460.56,294740000,294740000
775920600,460.65,461.46,459.51,461.46,283840000,283840000
776007000,461.45,461.49,458.4,458.4,289150000,289150000
776093400,458.34,458.34,456.08,457.09,230270000,230270000
776352600,457.08,458.3,457.01,457.89,217680000,217680000
776439000,457.89,458.16,456.66,457.92,259140000,259140000
776525400,457.98,460.48,457.98,460.3,279500000,279500000
776611800,460.31,461.41,456.88,458.88,275690000,275690000
776698200,458.88,462.27,458.88,461.95,249280000,249280000
776957400,461.97,463.34,461.21,461.23,223210000,223210000
777043800,461.22,465.2,459.89,465.01,306640000,306640000
777130200,465.27,465.91,464.57,465.17,309250000,309250000
777216600,465.1,465.1,462.3,463.17,287330000,287330000
777303000,463.25,464.37,461.81,463.68,276630000,276630000
777562200,463.38,463.38,461.46,462.31,235870000,235870000
777648600,462.39,466.58,462.39,464.51,307240000,307240000
777735000,464.51,469.05,464.51,469.03,310510000,310510000
777821400,469.07,470.12,467.64,468.08,284230000,284230000
777907800,468.32,474.65,468.32,473.8,305120000,305120000
778167000,473.89,477.14,473.89,474.59,266080000,266080000
778253400,474.59,476.61,473.56,476.09,294520000,294520000
778339800,476.07,477.59,474.43,475.5,354650000,354650000
778426200,475.49,475.49,471.74,473.17,282830000,282830000
778512600,473.2,474.89,470.67,470.99,216150000,216150000
778858200,471.03,471.92,469.64,471.86,199670000,199670000
778944600,471.86,472.41,470.2,470.99,290330000,290330000
779031000,471,473.4,470.86,473.14,295010000,295010000
779117400,473.13,473.13,466.55,468.18,293360000,293360000
779376600,468.1,468.42,466.15,466.21,244680000,244680000
779463000,466.48,468.76,466.48,467.52,293370000,293370000
779549400,467.55,468.86,466.82,468.8,297480000,297480000
779635800,468.8,474.81,468.79,474.81,281920000,281920000
779722200,474.81,474.81,470.06,471.19,410750000,410750000
779981400,471.21,473.15,470.68,470.85,277110000,277110000
780067800,470.83,470.83,463.36,463.36,326050000,326050000
780154200,463.42,464.01,458.47,461.46,351830000,351830000
780240600,461.45,463.22,460.96,461.27,305210000,305210000
780327000,461.27,462.14,459.01,459.67,300060000,300060000
780586200,459.57,460.87,459.31,460.82,272530000,272530000
780672600,460.82,462.75,459.83,462.05,290330000,290330000
780759000,462.1,465.55,462.1,464.81,330020000,330020000
780845400,464.84,464.84,461.51,462.23,302280000,302280000
780931800,462.27,465.3,461.91,462.71,291900000,291900000
781191000,462.77,463.31,460.33,461.74,269130000,269130000
781277400,461.77,462.46,454.03,454.59,325620000,325620000
781363800,454.56,454.56,449.27,453.52,359670000,359670000
781450200,453.52,454.49,452.13,452.36,272620000,272620000
781536600,452.37,455.67,452.13,455.1,284230000,284230000
781795800,455.34,459.29,455.34,459.04,213110000,213110000
781882200,459.04,466.34,459.04,465.79,355540000,355540000
781968600,465.78,466.7,464.79,465.47,269550000,269550000
782055000,465.56,471.3,465.56,467.79,337900000,337900000
782141400,467.89,469.53,466.11,469.1,251770000,251770000
782400600,469.03,469.88,468.16,468.96,238490000,238490000
782487000,469.02,469.19,466.54,467.66,259730000,259730000
782573400,467.69,471.43,465.96,470.28,317030000,317030000
782659800,470.37,470.37,465.39,466.85,331460000,331460000
782746200,466.69,466.69,463.83,464.89,315310000,315310000
783005400,464.89,466.37,460.8,460.83,282800000,282800000
783091800,460.83,461.95,458.26,461.52,326110000,326110000
783178200,461.55,463.77,461.22,462.61,322570000,322570000
783264600,462.68,465.85,462.68,465.85,327790000,327790000
783351000,465.84,473.78,465.8,473.77,381450000,381450000
783613800,473.76,474.74,472.33,472.35,302820000,302820000
783700200,472.26,472.26,467.64,468.42,314940000,314940000
783786600,468.41,470.92,466.36,466.51,331360000,331360000
783873000,466.5,468.64,466.4,467.91,285170000,285170000
783959400,467.96,469.28,462.28,462.28,280560000,280560000
784218600,462.31,463.56,461.25,463.06,255030000,255030000
784305000,463.08,467.54,463.07,465.65,290860000,290860000
784391400,465.65,469.95,463.46,465.42,337780000,337780000
784477800,465.4,467.79,463.73,464.35,280910000,280910000
784564200,464.17,464.17,461.45,462.35,220800000,220800000
784823400,462.44,466.29,462.44,466.04,260380000,260380000
784909800,466.04,468.51,462.95,465.03,336450000,336450000
784996200,465.06,466.25,464.28,465.62,296980000,296980000
785082600,465.71,465.83,461.47,463.57,323190000,323190000
785169000,463.6,463.84,460.25,461.47,356730000,356730000
785428200,461.69,463.41,457.55,458.29,293030000,293030000
785514600,457.95,458.03,450.08,450.08,387270000,387270000
