time,open,high,low,close,Volume,Volume
783208800,5.43,5.43,5.43,5.43,0,0
783295200,5.35,5.35,5.35,5.35,0,0
783558000,5.25,5.25,5.25,5.25,0,0
783644400,5.28,5.28,5.28,5.28,0,0
783730800,5.32,5.32,5.32,5.32,0,0
783817200,5.27,5.27,5.27,5.27,0,0
783903600,5.24,5.24,5.24,5.24,0,0
784162800,5.19,5.19,5.19,5.19,0,0
784249200,5.21,5.21,5.21,5.21,0,0
784335600,5.11,5.11,5.11,5.11,0,0
784422000,5.17,5.17,5.17,5.17,0,0
784508400,5.17,5.17,5.17,5.17,0,0
784767600,5.18,5.18,5.18,5.18,0,0
784854000,5.21,5.21,5.21,5.21,0,0
784940400,5.22,5.22,5.22,5.22,0,0
785026800,5.23,5.23,5.23,5.23,0,0
785113200,5.14,5.14,5.14,5.14,0,0
785372400,5.16,5.16,5.16,5.16,0,0
785458800,5.15,5.15,5.15,5.15,0,0
785545200,5.15,5.15,5.15,5.15,0,0
785631600,5.18,5.18,5.15,5.15,0,0
785718000,5.15,5.15,5.15,5.15,0,0
785977200,5.1,5.1,5.1,5.1,0,0
786063600,5.06,5.06,5.06,5.06,0,0
786150000,4.9,4.9,4.9,4.9,0,0
786236400,4.91,4.91,4.91,4.91,0,0
786322800,4.7,4.7,4.7,4.7,0,0
786582000,4.57,4.57,4.57,4.57,0,0
786668400,4.65,4.65,4.65,4.65,0,0
786754800,4.64,4.64,4.64,4.64,0,0
786841200,4.67,4.67,4.67,4.67,0,0
786927600,4.69,4.69,4.69,4.69,0,0
787186800,4.78,4.78,4.78,4.78,0,0
787273200,4.78,4.78,4.78,4.78,0,0
787359600,4.78,4.78,4.78,4.78,0,0
787446000,4.8,4.8,4.8,4.8,0,0
787532400,4.78,4.78,4.78,4.78,0,0
787791600,4.77,4.77,4.77,4.77,0,0
787878000,4.83,4.83,4.83,4.83,0,0
787964400,4.79,4.79,4.79,4.79,0,0
788050800,4.77,4.77,4.77,4.77,0,0
788137200,4.78,4.78,4.78,4.78,0,0
788482800,4.8,4.8,4.8,4.8,0,0
788569200,4.9,4.9,4.9,4.9,0,0
788655600,4.87,4.87,4.87,4.87,0,0
788742000,4.87,4.87,4.87,4.87,0,0
789087600,4.73,4.73,4.73,4.73,0,0
789174000,4.6,4.6,4.6,4.6,0,0
789260400,4.71,4.71,4.71,4.71,0,0
789346800,4.63,4.63,4.63,4.63,0,0
789606000,4.67,4.67,4.67,4.67,0,0
789692400,4.66,4.66,4.66,4.66,0,0
789778800,4.71,4.71,4.71,4.71,0,0
789865200,4.84,4.84,4.84,4.84,0,0
789951600,4.81,4.81,4.81,4.81,0,0
790210800,4.76,4.79,4.76,4.78,0,0
790297200,4.86,4.86,4.86,4.86,0,0
790383600,4.87,4.87,4.87,4.87,0,0
790470000,4.89,4.89,4.89,4.89,0,0
790556400,4.91,4.91,4.91,4.91,0,0
790815600,4.81,4.81,4.81,4.81,0,0
790902000,4.83,4.83,4.83,4.83,0,0
790988400,4.78,4.78,4.78,4.78,0,0
791074800,4.79,4.79,4.79,4.79,0,0
791161200,4.66,4.66,4.66,4.66,0,0
791420400,4.72,4.72,4.72,4.72,0,0
791506800,4.66,4.66,4.66,4.66,0,0
791593200,4.66,4.66,4.66,4.66,0,0
791679600,4.71,4.71,4.71,4.71,0,0
791766000,4.67,4.67,4.67,4.67,0,0
792025200,4.69,4.69,4.69,4.69,0,0
792111600,4.67,4.67,4.67,4.67,0,0
792198000,4.72,4.72,4.72,4.72,0,0
792284400,4.77,4.77,4.77,4.77,0,0
792370800,4.76,4.76,4.76,4.76,0,0
792630000,4.72,4.72,4.72,4.72,0,0
792716400,4.75,4.75,4.75,4.75,0,0
792802800,4.73,4.73,4.73,4.73,0,0
792889200,4.73,4.73,4.73,4.73,0,0
792975600,4.77,4.77,4.77,4.77,0,0
793234800,4.77,4.78,4.77,4.77,0,0
793321200,4.74,4.74,4.74,4.74,0,0
793407600,4.83,4.83,4.83,4.83,0,0
793494000,4.81,4.81,4.81,4.81,0,0
793580400,4.63,4.63,4.63,4.63,0,0
793839600,4.5,4.5,4.5,4.5,0,0
793926000,4.53,4.53,4.53,4.53,0,0
794012400,4.39,4.39,4.39,4.39,0,0
794098800,4.42,4.42,4.42,4.42,0,0
794185200,4.4,4.4,4.4,4.4,0,0
794444400,4.47,4.47,4.47,4.47,0,0
794530800,4.67,4.67,4.67,4.67,0,0
794617200,4.54,4.54,4.54,4.54,0,0
794703600,4.6,4.6,4.6,4.6,0,0
794790000,4.56,4.56,4.56,4.56,0,0
795049200,4.7,4.7,4.7,4.7,0,0
795135600,4.68,4.68,4.68,4.68,0,0
795222000,4.76,4.76,4.76,4.76,0,0
795308400,4.73,4.73,4.73,4.73,0,0
795394800,4.71,4.71,4.71,4.71,0,0
795654000,4.67,4.67,4.67,4.67,0,0
795740400,4.61,4.61,4.61,4.61,0,0
795826800,4.65,4.65,4.65,4.65,0,0
795913200,4.68,4.68,4.68,4.68,0,0
795999600,4.61,4.61,4.61,4.61,0,0
796258800,4.61,4.61,4.61,4.61,0,0
796345200,4.74,4.74,4.74,4.74,0,0
796431600,4.78,4.78,4.78,4.78,0,0
796518000,5.23,5.23,5.23,5.23,0,0
796604400,5.3,5.3,5.3,5.3,0,0
796860000,5.29,5.29,5.29,5.29,0,0
796946400,5.28,5.28,5.28,5.28,0,0
797032800,5.39,5.39,5.39,5.39,0,0
797119200,5.4,5.4,5.4,5.4,0,0
797205600,5.39,5.39,5.39,5.39,0,0
797464800,5.24,5.24,5.24,5.24,0,0
797551200,5.33,5.33,5.33,5.33,0,0
797637600,5.32,5.32,5.32,5.32,0,0
797724000,5.37,5.37,5.37,5.37,0,0
797810400,5.27,5.38,5.27,5.36,0,0
798069600,5.72,5.72,5.72,5.72,0,0
798156000,5.86,5.86,5.86,5.86,0,0
798242400,5.79,5.79,5.79,5.79,0,0
798328800,5.68,5.68,5.68,5.68,0,0
798415200,5.66,5.66,5.66,5.66,0,0
798674400,5.66,5.66,5.66,5.66,0,0
798760800,5.71,5.71,5.71,5.71,0,0
798847200,5.56,5.56,5.56,5.56,0,0
798933600,5.76,5.76,5.76,5.76,0,0
799020000,5.72,5.72,5.72,5.72,0,0
799279200,5.85,5.85,5.85,5.85,0,0
799365600,5.91,5.91,5.91,5.91,0,0
799452000,5.96,5.96,5.96,5.96,0,0
799538400,6.1,6.1,6.1,6.1,0,0
799624800,6.05,6.05,6.05,6.05,0,0
799884000,5.99,5.99,5.99,5.99,0,0
799970400,5.46,5.46,5.46,5.46,0,0
800056800,5.39,5.39,5.39,5.39,0,0
800143200,5.33,5.33,5.33,5.33,0,0
800229600,5.3,5.3,5.3,5.3,0,0
800488800,5.43,5.43,5.43,5.43,0,0
800575200,5.41,5.41,5.41,5.41,0,0
