time,open,high,low,close,volume
4/15/2026,-0.165,-0.159,-0.167,-0.162,2403.0
4/14/2026,-0.161,-0.154,-0.169,-0.161,39285.0
4/13/2026,-0.151,-0.146,-0.165,-0.164,33385.0
4/10/2026,-0.142,-0.134,-0.16,-0.158,26633.0
4/9/2026,-0.14,-0.132,-0.147,-0.144,25058.0
4/8/2026,-0.121,-0.118,-0.14,-0.136,35443.0
4/7/2026,-0.127,-0.107,-0.13,-0.116,19346.0
4/6/2026,-0.127,-0.117,-0.134,-0.126,13583.0
4/3/2026,-0.123,-0.118,-0.13,-0.124,26950.0
4/2/2026,-0.123,-0.118,-0.13,-0.124,
4/1/2026,-0.119,-0.109,-0.125,-0.12,21003.0
3/31/2026,-0.151,-0.117,-0.158,-0.122,23657.0
3/30/2026,-0.137,-0.137,-0.162,-0.148,15519.0
3/27/2026,0.053,0.082,0.019,0.064,16431.0
3/26/2026,0.04,0.077,0.032,0.071,18083.0
3/25/2026,0.034,0.049,0.03,0.04,11695.0
3/24/2026,0.014,0.039,0.003,0.031,21154.0
3/23/2026,0.012,0.03,0.012,0.017,32249.0
3/20/2026,0.037,0.042,0.025,0.031,31815.0
3/19/2026,0.036,0.048,0.025,0.04,39296.0
3/18/2026,0.027,0.042,0.021,0.032,43818.0
3/17/2026,0.014,0.027,0.007,0.024,27299.0
3/16/2026,0.008,0.017,-0.003,0.012,28692.0
3/13/2026,0.012,0.03,0.004,0.006,33398.0
3/12/2026,-0.003,0.035,-0.005,0.006,38780.0
3/11/2026,-0.006,0.004,-0.015,-0.003,35037.0
3/10/2026,-0.011,0.025,-0.015,-0.01,53919.0
3/9/2026,-0.01,0.019,-0.016,-0.008,43826.0
3/6/2026,-0.017,-0.004,-0.02,-0.014,45603.0
3/5/2026,-0.02,-0.017,-0.026,-0.02,30274.0
3/4/2026,-0.021,-0.017,-0.029,-0.023,31292.0
3/3/2026,-0.028,-0.02,-0.031,-0.021,46426.0
3/2/2026,-0.018,-0.017,-0.032,-0.025,35856.0
2/27/2026,-0.028,-0.02,-0.031,-0.022,21547.0
2/26/2026,-0.019,-0.019,-0.036,-0.027,27727.0
2/25/2026,0.082,0.124,0.044,0.09,1846.0
2/24/2026,0.066,0.099,0.059,0.084,19578.0
2/23/2026,0.1,0.105,0.055,0.064,17604.0
2/20/2026,0.052,0.095,0.031,0.063,25235.0
2/19/2026,0.082,0.096,0.047,0.05,34097.0
2/18/2026,0.096,0.105,0.053,0.078,43788.0
2/17/2026,0.092,0.11,0.08,0.093,53804.0
2/13/2026,0.135,0.168,0.096,0.139,36878.0
2/12/2026,0.111,0.138,0.104,0.132,53197.0
2/11/2026,0.097,0.115,0.074,0.083,38592.0
2/10/2026,0.097,0.109,0.061,0.089,37045.0
